,content,,,,,,
1037,역시 난해한 류의 영화중 하나 졸음운전 금지 ㅋㅋ,,,,,,
1038,졸음운전 금지,,,,,,
1039,꽤 무섭게봤다 오랜만에 즐거웠다 ^^ 약간무서움 ㄷㄷ,,,,,,
1040,결말이 애매모호하지만 박진감 넘치는 긴장감에  재밋게봣어요~~~^^,,,,,,
1041,약간 독특하지만 그 약간의 독특함이 괜찮다.,,,,,,
1042,조금도 나무랄게 없구나...한시도 눈을 뗄 수 없었다...,,,,,,
1043,정말 오랜만에 즐거웠다,,,,,,
1044,좋다!,,,,,,
1045,결말이 영 맘에 안든다.. 허접스러운 반전...,,,,,,
1046,반전은 반전인데 정말 허무한반전이고 솔직히 평점 10점은 아깝고 5점짜리,,,,,,
1047,이 영화 정말 괜찮은 영화 중 하나입니다,,,,,,
1048,저예산으로선 수작;;지퍼스2아저씨도 나오네,,,,,,
1049,징그런시체가 없어도 느낄수있는 공포감. 흔치않지 않은가. 반전은 예상가능,,,,,,
1050,보는 내내 가슴이 뛰었던 최고의 반전 영화~! 정말 생각도 못했다.,,,,,,
1051,짦은 시간에 이런 느낌을 주는 영화가 그리 흔하더냐!!,,,,,,
1052,지름길(편한길)만을 추앙하는 사람들에 대한 일종의 경고?,,,,,,
1053,난진짜 이거 재밋게봣고 이거보고 스릴러 매니아됫다 (반전은 첨부터알앗음),,,,,,
1054,나는 이해 못 했지만 왠지 깊은 뜻이 있을 것 같다. 그리고 전문가 평점 뭐냐,,,,,,
1055,원래영화딴짓안하면서못보는데보는내내눈을뗄수없었다는!!,,,,,,
1056,스릴러매니아라면..바로 눈치챈다. 난 중감쯤에 다 알아버렸다.,,,,,,
1057,남자입술 뜯긴후 피 철철 흘리면서 알러뷰할때 완전 쩔었다,,,,,,
1058,음..서양영화로서 동양적인 쪼이는 맛이 있네요.,,,,,,
1059,돈을 안들이고 스토리를 넣어 재밋게 만든영화 계속 밤이어서 스릴넘침,,,,,,
1060,아~정말대단대단,,,,,,
1061,기대이상 잘만들어진 영화,,,,,,
1062,사운드의 압박 ;;;나중에 너무무서워서 헤드폰 벗고 봤어요..,,,,,,
1063,충분이 스릴있었고 내용도 앞과 뒤가 잘 맞게 짜여진것같다,,,,,,
1064,스릴넘치면서 반전도 죽였음 진짜 안보면 후회~,,,,,,
1065,보는내내 뭘 말하고싶은걸까 의아했지만 결과를 알면 보인다.,,,,,,
1066,한정된공간속에서 펼쳐지는 사람들의 갈등 스릴만점굿!,,,,,,
1067,철학이 담겨 있는 공포영화.,,,,,,
1068,이거재밌게봤음..가끔어두운길차타고가면생각남bb,,,,,,
1069,전형적인 공포영화. 재밌다.,,,,,,
1070,보는네네 지루했음,,,,,,
1071,이미 영화 포스터가 분위기를 말해주고 있다.,,,,,,
1072,공포영화중 분위기는 가장 무서움.. 반전은예상됬다..,,,,,,
1073,젤 무섭게 본..,,,,,,
1074,분위기와 배우의 연기력이 몰입성을 극한으로 끌어올린다.,,,,,,
1075,계속 말도 안 되는 얘기,,,,,,
1076,해석이야 다양하겠지만 그럭저럭봤다,,,,,,
1077,임산부였던 줄리아가 시신이 썩지 않다니 범인이네요.,,,,,,
1078,분위기가 일단 먹어줌 ㅋ,,,,,,
1079,자기전에 봐서그런지 배경이 무섭네요,,,,,,
1080,꽤무서운 영화. 배경이 어두워서 마음까지 조마조마.,,,,,,
1081,스릴러물로 볼만한영화,,,,,,
1082,지루하진 않다... 하지만 중간쯤이면 대강 내용 파악 완료.,,,,,,
1083,인간심리를 잘그렸다.... 하지만 그뿐이다,,,,,,
1084,조낸 무섭다 후덜덜....ㅜ,,,,,,
1085,반전에 대한 연출력의 극찬,,,,,,
1086,색다른 공포를 선사.특유의 모호함과 시도.이 영화의 매력이다.,,,,,,
1087,무섭긴한데..그냥그랬다,,,,,,
1088,절라리 무섭다.. 밤길이 무서워 짐..,,,,,,
1089,무섭다..... 분위기도 괜찮았다,,,,,,
1090,솔직히 기대는하지않았다.. 하지만 보고나서 달라지는..,,,,,,
1091,영화보는내내의 의문이 짧은 반전으로 인해 확 풀리네요~,,,,,,
1092,보는내내 가슴졸이고 긴장하며 봤지만 결말이 다소 허무하다,,,,,,
1093,재밌구나,,,,,,
1094,저예산으로 잘만든 괜찮은영화,,,,,,
1095,실망스럽다...,,,,,,
1096,기대안하고봐서그런가 잼있어요 .,,,,,,
1097,전체적으로 불쾌! 귀신도 이제그만우려먹을때 됬자나.,,,,,,
1098,로스여자친구였던 여자애가 딸로 나왔구나. 독특한 저예산영화,,,,,,
1099,많이 약한 반전,,,,,,
1100,나름 괜찮았다..,,,,,,
1101,스릴은 있다. 허나 반전은 약하다,,,,,,
1102,"반전은별볼일없지만,그 복선들이 너무나 인상적이다...",,,,,,
1103,솔찍히 요즘 공포 치곤 괜찮다.,,,,,,
1104,첨부터안봐서 반전은모르지만..영화자체가재밌다,,,,,,
1105,필름 2.0 평론가 의견에 동감.,,,,,,
1106,밤에 혼자 볼려니 무서웠다. 예상은 했으나 나쁘지 않은 결말,,,,,,
1107,막 잔인하거나 그런건 없어도 어두컴컴한 분위기가 맘에들었던,,,,,,
1108,호러로드무비의 진수! 반전의반전,,,,,,
1109,탄탄한 내용과 스토리로 높은 완성도를 길로 만들어놓은듯하다.,,,,,,
1110,보는 내내 불편해서 몇번이나 끊어봤다. 반전은 내 취향인데,,,,,,
1111,이맛에 영화 본다.,,,,,,
1112,한마디로 재밌다. 참신하고 완성도 높고 긴장감도 좋고.,,,,,,
1113,공포영화가 이정도면 마음에든다!!,,,,,,
1114,초저예산으로 엄청난 성공,,,,,,
1115,참신하긴한데 참 어이없는 장면이 넘많다.,,,,,,
1116,마지막반전이쪼금아쉽지만그래도스릴은10점줄만하다ㅋ.ㅋ,,,,,,
1117,공포를 기대하지마라. 그냥 생각없이 봐라... 쩝쩝,,,,,,
1118,내가 본 최고의 공포영화..,,,,,,
1119,1년전에 봤는데 지금도 가끔씩 생각나면서 오싹!,,,,,,
1120,보고나서 다시한번 생각하게 되는 볼만한영화!!,,,,,,
1121,큐브1에서 느꼈던 끝없는 반복에대한 두려움 그리고 공포,,,,,,
1122,공포는 좋았지만...반전도 약하고....걍 볼만함,,,,,,
1123,공포영화중 수작. 반전을 알면 더 오싹하다,,,,,,
1124,평점너무높아,,,,,,
1125,색다른 공포물..신선했다,,,,,,
1126,끝을 알 수 없는 길.. 오싹했다...,,,,,,
1127,본지 오래 됐지만 지금 생각해도 최고다,,,,,,
1128,최근 본 공포영화 중 최고,,,,,,
1129,막판 청소부가 쪽지를 줍는건 정말 반전의 극치,,,,,,
1130,저예산의 극치를 달리는 공포스릴러.. 뭐 이정도면 그럭저럭,,,,,,
1131,스릴있다,,,,,,
1132,졸지말란 말야 -_ ; 저예산 치곤 5점정도 적당한듯,,,,,,
1133,운전하다 졸지 말라는 교훈이 담긴.. 훈훈한 영화...^^,,,,,,
1134,인간의 환상으로 창조한 미지의 공포,,,,,,
1135,반전 미리 알아채면 재미없는 영화인가.,,,,,,
1136,보기 좋은 반전 영화중 한편이군요 ^^,,,,,,
1137,퐈~야~,,,,,,
1138,한순간도 긴장을 놓치 못했어요. 엄청난 마무리. 멋졌음.,,,,,,
1139,이정도면 잼있는거아닌가?,,,,,,
1140,앞부분은 지루했지만 뒤로갈수록 엄청난 반전이..최고네 최고야,,,,,,
1141,난 괜찮게 봤는데 이따위야 !!,,,,,,
1142,넘재밌다^^,,,,,,
1143,정말 최고의 공포심리영화(강추)별점 첨주네요영화보구,,,,,,
1144,비 부슬부슬 오는 밤..혼자 있는 집에서 불끄고 보면 최고~,,,,,,
1145,분위기로 압도하는 영화. 우리가 한번쯤 들어봤을만한 얘기.,,,,,,
1146,이만하면 수작이지 뭘 더 바래,,,,,,
1147,재미있어요...,,,,,,
1148,ㅎㅎㅎ 머 이정도면 볼만하고 무서움 ㅎㅎ 7.5점 주고싶었는데 !,,,,,,
1149,반전영화지만...그리 놀랍지않은...그렇다고 재미없지도 않은,,,,,,
1150,마무리가평범한건가?끝까지보시길,,,,,,
1151,저예산 치고 7점이면 축구에서 한골에 어시스트 평점,,,,,,
1152,그냥 뭐...스릴은 넘치네,,,,,,
1153,지루했고,,,,,,
1154,이게 저예산영화라니...,,,,,,
1155,긴장감 up! 스캐일은 작지만 내용은 탄탄하다,,,,,,
1156,저예산으로 이정도면,,,,,,
1157,내머리론 무슨내용인지 이해가 안가는..쩝;,,,,,,
1158,반전을 노린 한방짜리 영화. 볼만한데 약간 무서웠음.,,,,,,
1159,반전이 볼만한 영화~,,,,,,
1160,공포와 죽음을 통해 바라본 중산층가족의 허와 실.,,,,,,
1161,섬뜻했다.. 좀 찝찝한 영화이긴 하지만..,,,,,,
1162,그냥.. 그렇네요.. 쿨럭.,,,,,,
1163,서양영화는 무서워봤자다라는 편견이 완전히 깨져버렸다.,,,,,,
1164,볼만하다.,,,,,,
1165,저밑에 전문가 김봉석?웃기고있네 ㅋㅋ,,,,,,
1166,반전은 처음부터알앗지만..정말. 소름돋는영화..,,,,,,
1167,잘봤습니다. 제 입장에선 반전이 약하긴 했지만..추천할만합니다,,,,,,
1168,이거 실화였구나...저예산으로 이정도라니.,,,,,,
1169,나름 볼만함!!,,,,,,
1170,재밌던데 찌질이들아? 반전도 꽤 괜찬고 1점주는 찌질이들 뭐냐?,,,,,,
1171,생사의 갈림길..더로드.,,,,,,
1172,죽인다...말이필요없는영화,,,,,,
1173,나름 흥미..,,,,,,
1174,그럭저럭 볼만하네요,,,,,,
1175,재미없다 하시는분들은 영화 볼줄 모르는 人,,,,,,
1176,재미없다 하시는분들 굉장한 영화하나 놓쳤다. 해설 꼭!! 보시길,,,,,,
1177,굉장한 몰입감과 재미... 심리적 압박이 대단해,,,,,,
1178,이 영화가 왜 8점일까....,,,,,,
1179,꼭 해설보세요! 해설보면 정말 소름끼칩니다. 정말 대단해요!!!,,,,,,
1180,끝에 다가갈수록 점점 무너지는 듯한...,,,,,,
1181,어제 꾼 꿈이 더 재밌삼!!!!!!!!!!!!!!!!!!!!!,,,,,,
1182,축약하면 매우 간단한 스토리,,,,,,
1183,조여오는 압박감.. 보는 내내 긴장감을 놓을수 없는 영화,,,,,,
1184,저예산영화치곤 수준급 괜찮았다 반전이 약간 디아더스틱,,,,,,
1185,깔끔한 공포영화,,,,,,
1186,색다른 공포 영화,,,,,,
1187,전혀 기대하지 않았던 놀라운 영화,,,,,,
1188,보고나서 해설꼭 찾아보시길. 진정 최고의 공포영화!!!,,,,,,
1189,그다지~   왜 긴장이 안됬지 난,,,,,,
1190,공포영화 중 정말 최~고,,,,,,
1191,밑에 tae6363이놈하고 낮은평점준놈들   영화볼줄모르는것들,,,,,,
1192,긴장감 느끼고 싶은 분은 꼭 보세요,,,,,,
1193,공포영화도 똑똑하지 않으면 재미없다.,,,,,,
1194,반전좋은데 좀 뻔한..그래도 재밌었다,,,,,,
1195,기대만큼은 아니었지만 괜찮았다,,,,,,
1196,졸라 무서웠다,,,,,,
1197,자막 올라갈 때까지 보셔야 두번째 반전을 보실 것입니다.,,,,,,
1198,긴장도 되고재밌는걸 반전도있고 의외였다.,,,,,,
1199,졸,,,,,,
1200,긴장감있게 잘 만든 영화네요. 강추~,,,,,,
1201,그리 반전이 강하진 않았지만..기대하지않고 봐서 볼만했던영화,,,,,,
1202,10분정도 보고 완전히 반전 때려맞서 역시나 했지만 괜찮은 내용,,,,,,
1203,긴장감 최고~ 이런 영화가 젤 좋다,,,,,,
1204,반전시시. 하지만 정말 저예산에 그정도면 ㅋㅋ,,,,,,
1205,보는 내내 긴장하게 만듬,,,,,,
1206,오랜만에 긴장하면서 본영화~,,,,,,
1207,몰입을 너무 해서 그런지 결말이 허무했다,,,,,,
1208,심리 공포물 ..생각하기 좋아하는 분들께 강추,,,,,,
1209,요즘에 이렇게 무서워한 영화는 처음이었다ㅠㅠ,,,,,,
1210,나름뭐,,,,,,
1211,저 밑에 꿈 어쩌구 하는 말 믿지 마셈-0- 영화는 봤는지..,,,,,,
1212,정말 재밌는 영화였다.긴장감은 정말 최고!,,,,,,
1213,반전이 조금 약하지만 긴장감은 최고!,,,,,,
1214,마지막 모든게 꿈 이란 건가요?,,,,,,
1215,어떻게 끝날까 조마조마하며 봤는데,,,,,,
1216,마지막에 영화이해를하니깐 먼지알겠고잼잇네요,,,,,,
1217,안무서워;;;;,,,,,,
1218,볼만하네요,,,,,,
1219,야한장면만없었다면 최고였을듯,,,,,,
1220,긴장감 하나만큼은 수준급인 영화~^^,,,,,,
1221,어둡고 반복되는 끝도없는 길..밤에 시골길이 오싹할듯..,,,,,,
1222,분위기 좋다,,,,,,
1223,8-9점 사이가 적당한 듯..추천!!,,,,,,
1224,길에서 무슨 일이 아이디어의 승리,,,,,,
1225,진짜 수작이다. 저예산으로 결말까지 괜찮았던 영화.,,,,,,
1226,무섭기는 한데..;진짜 결말 뭐냐.ㅡ조낸 결말만 없으면 10점..,,,,,,
1227,피안나오는 공포영화.. 몰입하게 만드는 감독의 연출~굿~,,,,,,
1228,몰입도 최강.,,,,,,
1229,어두운환경에서,,,,,,
1230,와...결말이 뭐 어떻다고...무섭기만하고만...몰입도 장난아님;;,,,,,,
1231,결말을 없앴으면 차라리 괜찮았을 영화. 긴장감은 있다.,,,,,,
1232,심하게 저예산으로 수작이 탄생,,,,,,
1233,스릴감 만빵,,,,,,
1234,정말 대단! 긴장감 하고 무서움 역시..최고였다. ^-^,,,,,,
1235,분위기가 너무 무섭다 긴장감은 엄청나다,,,,,,
1236,저녁에 헤드폰끼고 혼자 함 보세여  등골이 서늘함,,,,,,
1237,혼자 보세요 ...조낸 무서움..,,,,,,
1238,괜히 무섭고.. 반전도 최고 !! 피보기는 힘듬 ㅋㅋ @@,,,,,,
1239,무섭지도않고.. 재밌지도않고.. 그저그런데.. 빨려든다!!!!!!!,,,,,,
1240,귀신이 나오고 하는 것 보다 이런게 더 분위기 있고 무섭다.,,,,,,
1241,이런 공포..굳,,,,,,
1242,조타,,,,,,
1243,진짜 이런거 좋다..,,,,,,
1244,볼만하다 잔인한거 시러하면서 무서운거 좋아하시는분 강추!,,,,,,
1245,난 언제나 끝에 여운을 남기는 영화가 너무좋다!!!!!!!!!!,,,,,,
1246,좋아~!,,,,,,
1247,이런 분위기 너무 좋다. 빠져나올 수 없는 길위에서 아등바등,,,,,,
1248,긴장감 대박..!! ㅋ 반전도 이정도면 갠찬고~,,,,,,
1249,보는 내내 긴장했다... 엄마가 죽을때 도망가고싶었다..ㅜㅜ,,,,,,
1250,ㅋ... 처음장면에서 반전을 예상케했으므로 1점빼서 9점.,,,,,,
1251,진짜 끝내주네 정말 강추합니다^^,,,,,,
1252,마지막에 이해가 잘안가지만 굿~무섭슴당.,,,,,,
1253,저예산에 이정도라면....,,,,,,
1254,공포영화의 재기능을 어느정도 발휘하고 있다,,,,,,
1255,psg0940 사람마다 보는 관점이 다르단다 아가야,,,,,,
1256,밑에 영화볼줄모르는놈 ㅉㅉ어리네  atydragon  이영화 좋다,,,,,,
1257,꽤나 놀라운 이야기.,,,,,,
1258,깔끔한 결말. 무엇보다 후반부 반전에 올인하지 않은게 맘에든다,,,,,,
1259,제작비 지대로 적게든 영화..  결말이 약간 억지스러운...,,,,,,
1260,역시 공포영화는 긴장감이... 이거보신분 새벽의 저주도 보세요~,,,,,,
1261,요즘 방학이라 영화를 냅다 보고 있는데 추천 해주고 싶은영화,,,,,,
1262,차라리 결말을 없애지...ㅠ_ㅜ,,,,,,
1263,참 잘만들었네요. 심리묘사가 제대로 입니다.,,,,,,
1264,꽤 재밌게본.. 영상미가 좀 어두운..,,,,,,
1265,음 생각하게 만드는 영화,,,,,,
1266,소문에 속은 영화,,,,,,
1267,시나리오도 괜찮고 배우들 연기도 굿~저예산의 승리!,,,,,,
1268,코믹과 공포의 적절한 조화. 근데진짜무섭다 조심해,,,,,,
1269,미친엄마가 총들고 설치는게 질루 무섭네~상상력으로 떼우기!,,,,,,
1270,블레어위치이후로 처음 느껴보는 최대공포...끝허무..ㅋㅋ,,,,,,
1271,이런류의 공포영화도 있구나 싶었음~새로웠어,,,,,,
1272,최고의 영화 공포 스릴러 오키.. 재미없다는 새끼 죽여버려..!!,,,,,,
1273,계속 긴장하면서 봤다.... 스토리깔끔하게 잘만들었네,,,,,,
1274,돈 안들이고 이정도면..하지만 오두막집은 성의가 없다.,,,,,,
1275,밝은 오전에 봤지만 덜덜덜.. 깜짝놀래키는 요소들,,,,,,
1276,멀쩡히 살아있다는 것에 감사해야 한다.,,,,,,
1277,우리나란 왜 이런 영화 못만들지 리메이크 대박,,,,,,
1278,보고나서 더 섬뜩했다,,,,,,
1279,15세 관람가였는데. 디게 무서웠다.,,,,,,
1280,보는 내내 지루하고 짜증나는...좀 복잡하다...,,,,,,
1281,영화보면서는하나도이해를하지못했다어려운영화다,,,,,,
1282,"엔딩을 보고나서 한마디 내질렀다. "" 낚였다..""...파닥파닥..",,,,,,
1283,정말 OO같은 가족 한대후려쳐주고싶을 정도로 어리버리하다,,,,,,
1284,워우,,,,,,
1285,미칠듯이 긴장되는 영화 ;;; 이런영화첨봄..,,,,,,
1286,굿!!,,,,,,
1287,내 생에 최고의 영화중 하나.,,,,,,
1288,조아...적절한 공포.적절한긴장감...적절한한반전..딱조아.,,,,,,
1289,오호... 추천! 닥치고보셈,,,,,,
1290,최근 본 공포영화중 최고!,,,,,,
1291,기대 별로 안하고 봤는데... 재밌게 본 공포,,,,,,
1292,몰입감 최고!! 간만에 느끼는 공포영화의 수작.,,,,,,
1293,무섭다기 보다는 약간 오싹하고 재미있다. 그러나 어렵다.,,,,,,
1294,심리적 공포 세상에 귀신과 나 뿐이라는 느낌,,,,,,
1295,반전 스릴러,,,,,,
1296,동양적인 공포를 줄수있는 영화,,,,,,
1297,엄청난 심리적 공포. 예상을 완전히 빗나간 반전. 이런게 명작,,,,,,
1298,영화보는 내내 마콧의 실마리를 잡을려고했는데 훗..,,,,,,
1299,괜찮습니다,,,,,,
1300,우리나라는 왜 이런 영화 못 만들지????,,,,,,
1301,그냥 볼만했음. 약간 졸리긴했지만..,,,,,,
1302,보고난후 '우와~'했음. 심리적 공포감..장난아님.재미.강추,,,,,,
1303,몰입도도 좋고 긴장하게 만드는 영화...좋았다,,,,,,
1304,스토리전개도 좋고.반전도 한몫하는 영화것 같은디.내생각에.,,,,,,
1305,이상하게 허졉해 보이는데. 가슴졸였던 ...,,,,,,
1306,공포영화는 바로 이런거를 말하는것이다...,,,,,,
1307,가슴 조리며 볼수 있는 공포영화,,,,,,
1308,상당한 수작이다... 반전이아닌 분위기를 느껴라...,,,,,,
1309,혼자감상하는동안..심장압박최고!..,,,,,,
1310,보는내내 오싹했다..그러나 반전은 그다지 별로..,,,,,,
1311,상징들이나 복선등을 생각하면서 보기 좋아요.,,,,,,
1312,끌날떄까지 긴장을 늦출수없었다!!,,,,,,
1313,스릴러라기 보다는 좀 공포에 가깝네요. 별로다,,,,,,
1314,반전 그러나 이해하기 어려운 부분도 있음..ㅋ,,,,,,
1315,반전!!긴장감!!공포!!이 삼박자가 딱!!,,,,,,
1316,반전 예상 가능 하지만 보는내내 내 심장소리를 들을 수 있었다,,,,,,
1317,이거 왜케 평가가 좋은거야?;;;,,,,,,
1318,결말몰랐음..오~~반전.ㅋㅋ 징그러움.깜짝놀랫음.ㅋ,,,,,,
1319,훌륭하지만 기존 반전스릴러의 모습을 답습한 건 아쉽다.,,,,,,
1320,결말을 알고봐서 아쉽다.몰랐다면 훨씬 가슴졸이며 봤을텐데..,,,,,,
1321,오 놀랐네,,,,,,
1322,그것봐~~양놈 너네들도 이런공포 만들수 있다니깐,,,,,,
1323,공포영화는 제대로 공포를 느끼게 해주면 된다. 굿~,,,,,,
1324,그러게요..마지막이 좀 어째..그놈이 저승사자?,,,,,,
1325,긴장감 최고 영화,,,,,,
1326,좋은 영화는 아니다  볼만한 영화다,,,,,,
1327,단순한것같으면서도그렇지않은소재와긴장감.나름느낌Good,,,,,,
1328,다 좋고 긴장도 좀 되고 좋아,,,,,,
1329,극한의 공포를 느꼈다. 닭살이 쫙,,,,,,
1330,졸음운전 하지 말자,,,,,,
1331,간만에 보는 수작...,,,,,,
1332,재밌고 무섭네요~ 더이상 뭐가 필요하죠?,,,,,,
1333,긴장감 조성 최고^^,,,,,,
1334,독특한 영화... 무서움을 주는 영화 자체의 분위기가 압권,,,,,,
1335,보는내내 무서워서 죽는줄알았음!!,,,,,,
1336,내생에 첨으로 보는내내 숨죽이며 본영화.,,,,,,
1337,오우~ 제법인데~!!,,,,,,
1338,이해하고 나니까 대단한 영화네,,,,,,
1339,이걸 보지 않으신 모든 분들께 추천하고 싶다!,,,,,,
1340,괜찮았던 공포물.. 그 이상 남는건 없다.,,,,,,
1341,볼만했다...그리 길지도 않고...지루하진 않았던 느낌이랄까?,,,,,,
1342,졸라...난 이런종류의영화가 무섭더라.....,,,,,,
1343,괜찮다....,,,,,,
1344,이영화를보고반전과진실따위로투털대는넘은영화볼줄모르는거다,,,,,,
1345,이게 15세 영화라고 ?,,,,,,
1346,반전은 약간 황당하지만 분위기가 너무나도 음산하다..,,,,,,
1347,돈 들여가 CG바른 형편없는 블럭버스터 보다 100배 낫다.,,,,,,
1348,아무리 저예산이라도 이건 뭐.,,,,,,
1349,즐기기엔 충분한 공포영화..,,,,,,
1350,이런 영화 안나오나,,,,,,
1351,한때 TV외화 환상특급에서 봤던 시나리오..,,,,,,
1352,70점인줄알았는 85점은된다. 기대하지말고 봐라.,,,,,,
1353,괜찮음,,,,,,
1354,흥미롭게 진행되던 이야기도 결국 반전강박증의 희생양,,,,,,
1355,반전 아닌 반전!~ 식스센스와 비슷,,,,,,
1356,기대가 너무 컸나~무섭기만 하고 전체적인 내용은 별ㄹ,,,,,,
1357,이런류의반전을가진영화중 지루하지않은영화 여러생각을하게된다,,,,,,
1358,보는내내긴장긴장..구성이 탄탄한 느낌..무섭지만.. 슬프기도..,,,,,,
1359,기대보다 못하다...반전이 다소 억지스런면이 있는것 같다..,,,,,,
1360,끝이 참 미지근했다. 반전을 할라면 제대로 하던가!,,,,,,
1361,배경음악이나 영상은 좋으나 반전은 약함,,,,,,
1362,나10점은잘안준다. 완벽한구성. 최고.,,,,,,
1363,마지막까지 아리송...  긴장감 조성,,,,,,
1364,간만에 찾은 수작 공포영화..마지막이 아직까지 의문이다..,,,,,,
1365,영화본뒤 길다란 도로만 가면 소름이,,,,,,
1366,처음부터 끝까지의 긴장감! good~,,,,,,
1367,마지막에 그냥 엔딩용 반전 그래도 몰입감이있다. 역시 스릴러,,,,,,
1368,괜찮았는데...그냥 쫌 안풀린게 몇개 있다,,,,,,
1369,영화 끝날때까지 긴장감은 계속이더만.,,,,,,
1370,긴장감과 함께 공포감이 배가된다.,,,,,,
1371,전체적으로 무섭긴한데 약간 지루함,,,,,,
1372,반전을 예상해버렸음 ㅡㅡ;,,,,,,
1373,조낸반전 보구 내용 이해 안되서 지식인에서 한참 찾구 알았음ㅋ,,,,,,
1374,저예산이지만 엄청난 몰입감. 대단한 공포 스릴러임.,,,,,,
1375,반전 최고... 덜덜덜 재미있네,,,,,,
1376,기숙사에서 불꺼놓고 여럿이서 본 기억이 ㅎ 재밌음!!!!,,,,,,
1377,극한의상황,,,,,,
1378,긴장감 팍팍ㅋ근데 결말이 2가지로햇갈리내,,,,,,
1379,영화는 볼만 But 영화구성요소의 작용의도가 의문스럽다.,,,,,,
1380,결말이 허무 하기도 하나,,,,,,
1381,난 왜 이해가 안가지?!,,,,,,
1382,GOOD!,,,,,,
1383,스릴런줄 알고 봤는데 공포당ㅠㅠ그래도 재밌었다,,,,,,
1384,인간의 환상으로 창조한 미지의 공포,,,,,,
1385,여자귀신같은 설정이 맘에 안들었지만 긴장감이 좋았다,,,,,,
1386,심리적 압박이 상당한 영화. 영화가 짧은게 조금 아쉽다. 강추감,,,,,,
1387,힘빠지는 반전이지만 실화바탕이라니... 충격이 아닐수없다!,,,,,,
1388,잔인함이 있는데도 불구하고 지루했다,,,,,,
1389,이거 정말 실화??,,,,,,
1390,보는내내 긴장엄청나지만 마무리가 좀그러네요.;; 그래도 원츄,,,,,,
1391,마무리만 좋앗더라면 하는아쉬움이남네염,,,,,,
1392,머 그냥 볼만함 넘 짧다,,,,,,
1393,어느정도의 예상... 그러나 긴박했음 ^^,,,,,,
1394,그냥 그런 공포영화가 아냐!,,,,,,
1395,정말 섬뜩하다...,,,,,,
1396,긴장감에 휩쓸리다가 나중 반전에 한번 더 치이는 영화..굿!,,,,,,
1397,이거 혼자보면 죽습니다... 넘 무서워요,,,,,,
1398,....심오하다       세번봐버렸다♥,,,,,,
1399,잔혹함보다 이런 공포영화가 좋다,,,,,,
1400,혼자봐서 무서웠던,,,,,,
1401,의문점많은영화 ㅇㅇㅇㅇ 그래서더재밌다,,,,,,
1402,계속 되는 긴장감..충격적 결말...최고다 -_-)b,,,,,,
1403,스타일이 정말 괜찮은영화~스릴있다!82분이 금방간다,,,,,,
1404,간만에 제대로 깜짝깜짝 놀라는 영화본거같네요.,,,,,,
1405,와 분위기 애지네.. 잔인하지도안은데분위기때메..OO뻔함..,,,,,,
1406,반전은 좀 아쉬웠지만 그래도 재미있었어요~,,,,,,
1407,재밌어요..어느정도예상했던반전이지만..마지막 종이는 뭐지?,,,,,,
1408,나름대로 잼있네여..알포인트를 보는 듯한 느낌 !! 대략 8점,,,,,,
1409,볼만한 깔끔한 반전,,,,,,
1410,깔끔한 공포,,,,,,
1411,오싹함을 즐기는 공포 메니아라면  여거 강추~,,,,,,
1412,반전드라마에 나오는 반전이지만 이영화에서는 급이다르다,,,,,,
1413,잔인한 장면 없이도 긴장하며 본것같네요 추천!,,,,,,
1414,가족들이 다 싸이코임,,,,,,
1415,저예산 영화의 장점을 잘 보여준 수작,,,,,,
1416,오래된 영화에서 찾은 매력적인 공포영화인듯,,,,,,
1417,나쁘진 않았지만.. 찝찝한 영화,,,,,,
1418,아무것도 모르고 그냥 봤는데 머 괜찮았음~,,,,,,
1419,다른영화와는 뭔가다름.,,,,,,
1420,이해만 하면 재미있는영화!,,,,,,
1421,리뷰보기전은 스릴만점 리뷰보고난후는 결과에 대한이해 완벽,,,,,,
1422,반전엉망현실적이지않은사소한것짜증전체적몰입영상스릴봐줄만,,,,,,
1423,제길,,,,,,
1424,약간 2류 코미디가 있긴 하지만...수작.,,,,,,
1425,너무너무 무서워요...혼자 보지 마세요..ㅠㅠ,,,,,,
1426,입술 뜯는거 자꾸 생각난다 제길..,,,,,,
1427,무섭다..,,,,,,
1428,깔끔한 공포,,,,,,
1429,무엇이 진실인지 아직도 모르겠다.,,,,,,
1430,만이쓰인반전,,,,,,
1431,끝 반전이라는데 아무튼 재밌음 봐보세요,,,,,,
1432,정말 재밌음,,,,,,
1433,쪽지가 아빠가쓴게아니라 딸일수도있다 영화를한번더봐야겠다,,,,,,
1434,이 영화 보고 이해하면 제가 왜 10점 주는 지 압니다.,,,,,,
1435,반전이 코믹인건지..내가 이해를 못한건지;;,,,,,,
1436,보고나서후회는없음..영화속 가족들..정말괴짜임,,,,,,
1437,낯익은 컨셉!! 그러나 충분히 짜임새 있는 영화다.,,,,,,
1438,반전은 기대하지 말자. 공포라고 하기엔 좀 웃기다.ㅋㅋ,,,,,,
1439,알포인트이후에 최고위심리적압박영화였어여~,,,,,,
1440,우와 이해하기힘들었는데,,,,,,
1441,분명 공포물이지만 중간중간 조낸 웃겼던건 나 뿐인가?,,,,,,
1442,이 영화는 예술이다. 작품성이 뛰어나네요.,,,,,,
1443,이영화에서 가장 공포스러운건 바로! 아줌마의 지껄임이다.,,,,,,
1444,저예산 치곤 극적 긴장감과 공포를 충분히 느낄수 있는 영화,,,,,,
