,content,,,,,,,
2748,상남자들은 보지 마셈 죤노잼임미니바이킹 탄 기분,,,,,,,
2749,남편 너무 찌질남.. 으 내 목이 다 아픈거같다,,,,,,,
2750,야 네이버 평점 믿으면 안된다는 말이 사실이였네,,,,,,,
2751,공포보다는 스릴러,,,,,,,
2752,서프라이즈...끝까지 놀랍고 만족스럽다..!!,,,,,,,
2753,2시간 내내 숨막힘ㅇㅁㅇ,,,,,,,
2754,컨저링같은 귀신영화인줄 알았다가..공상과학 영화인줄알았다가 기대했던 엔딩이라 박수친 영화,,,,,,,
2755,새로운 장르물 느낌? 보는 내내 이러지는 긴장감... 몰립도 조성 굳굿!,,,,,,,
2756,스토리 전개를 위해 답답함을 극에 달하게 해놓고 그만큼 시원한 결말을 내놓지 못함보고나면 왠지 찝찝해지는 영화,,,,,,,
2757,,,,,,,,
2758,나이키 광고 나이키 광고,,,,,,,
2759,와 진짜 미쳤다.. 평점 8점 후반대 공포영화는 거짓말 하지 않는다.,,,,,,,
2760,진짜 완전 재밌고 무섭고 소름돋아요 진짜,,,,,,,
2761,어그로가 좀 있었으면 더 재밌었겠다. 수트라고 생각하니까 무서움이 덜 했다. 그래도 잘 봤다.,,,,,,,
2762,공포영화가 아니라 그냥 sf 스릴러였지만 그래도 스토리는 나름 괞찮았다,,,,,,,
2763,솔직히 왜 집착을 한건지 아직도 이해가 안감마지막 여주의 반전 ,,,,,,,
2764,,,,,,,,
2765,깜짝깜짝 놀라면서 재밌게 봄,,,,,,,
2766,잘 만든 스릴러. 보이지 않는 스토커의 무서움을 효과적으로 보여줌. 여주의 연기가 뛰어난 반면,,,,,,,
2767,이 영화가 재밌는지는 모르겠고 여친이랑 이거 같이보다가 한시간 반동안 키스함,,,,,,,
2768,아빠다리하고 의자에 앉아서 보는데 중간에 놀라서 책상에 무릎 박았음 ㅋ 너무 만족스럽게 잘 봤고 마지막이 조금 아리송함. 그래서 진짜 범인은 누구인지 뭐 그런거? 해석 찾아볼거임,,,,,,,
2769,여주가 코미디언 같음 감독의 취향인가,,,,,,,
2770,심장 쫄깃한 공포영화다. 졸라재밌다.,,,,,,,
2771,처음는 지루했는데중반부부터 몰입도 짱재밌게봤어요,,,,,,,
2772,잼있었음 새로운스토리엿음,,,,,,,
2773,너무 재밌어… 신선해  마지막까지 기대되는 영화,,,,,,,
2774,너무 지루해요,,,,,,,
2775,투명인간 영화를 완성도 높게 새로 창조함,,,,,,,
2776,재밌어요! 주인공 연기력 너무 좋아서 엄청 몰입해서 봤습니다. 스토리도 좋았어요.,,,,,,,
2777,개무서웠음.. 갑툭튀로 놀래키는게아니라 분위기나 배우 연기력으로 으스스한분위기 만드는게 좋았음,,,,,,,
2778,님들 꼭 보세요!!!! 짱짱이에요!,,,,,,,
2779,,,,,,,,
2780,다 좋은데 그 놈한테도 공포를 선사했어야 하는데 너무 금방 죽였어,,,,,,,
2781,반전도 정도껏 해야지 감독이 나름 서프라이즈 줄려고 한것같은데 그냥 웃기고 허탈하다.,,,,,,,
2782,지퍼도 없는데 어떻게 입고 벗지? ㅋ,,,,,,,
2783,그냥저냥 딱 그정도 영화,,,,,,,
2784,재밌긴한대 영화보는내내환공포증옴,,,,,,,
2785,가나다라마바사아자카차,,,,,,,
2786,두개로 갈리는 해석...상상에 맡긴다,,,,,,,
2787,기대 안하고 봤는데 재밌네요,,,,,,,
2788,Great movie  indeed♥♥♥,,,,,,,
2789,즐기기엔 무난하다. 몇몇 장면은 뛰어나다. 그런데도 전체적으론 좀 엉성하게 다가오는 이유는 왜일까?,,,,,,,
2790,세상에 너무 재밌다.. 여주 연기 굳굳! 은근 반전도 있고 스릴 있고 완전 내 스타일 영화네ㅠㅠ 강추,,,,,,,
2791,재밌네요. 긴장되고 무서워요. 흠칫하게 되는 카메라 동선 누군가가 나를 바라보고 있는 것 같음,,,,,,,
2792,장르가 sf인듯. 스파이더맨보다 진화한듯,,,,,,,
2793,초반엔 신선한데 후반엔 엉성..,,,,,,,
2794,킬링타임용으론 괜찮긴한데 여러모로 아쉬운 영화..투명인간이라는 소재만으로 공포와 스릴을 주기 수월한데 굳이 왜 액션이랑 어줍잖은 반전을 섞우서 정체성을 애매하게 하는지 모르겠다;  투명인간의 동기도 어거지고 동생을 ...,,,,,,,
2795,수트 너무 징그러우ㅜㅠㅠㅠ,,,,,,,
2796,자칫하면 답답하게 풀어낼 수 있었지만 자연스럽게 풀어냄 매우 만족 연기 영상미 배경음악은 덤,,,,,,,
2797,중간중간 루즈해서 두번 졸음!후반은 볼만함.,,,,,,,
2798,시시함. 재밌길 기대했는데,,,,,,,
2799,결국엔 뇌피셜을 감행하고 끝을 마무리 지었다는 점에선 감독의 의도일까. 그다지 아름답진 않았다,,,,,,,
2800,케빈 : 투명인간? 개꿀이지 ㅋ (집에 들어온 투명인간 여러함정에 걸린후 . 'ㅅㅂ 안해'),,,,,,,
2801,무서워서 소리끄고 봤음..대게는 눈 감고 보는데...,,,,,,,
2802,보는내내 심장벌렁...ㄹ혼자보지말것,,,,,,,
2803,추천합니다! SF 영화 정말 좋아해서 검색하다가 알게된 영화인데.. 스릴넘치고 너무 재밌네요,,,,,,,
2804,남자 셋이서 디비디방에서 봄. 나름 재밌었음 끝나고 나오면서 욕하는 사람 없을 정도의 영화. 약간 숨은그림찾기라 눈 잘 뜨고 봐야댐,,,,,,,
2805,진짜 별,,,,,,,
2806,공포 영화보다 더 공포스러운 것은 보는 눈은 있되 개연성과 비전이 없는 작품을 보는 인내력이다.,,,,,,,
2807,킬링타임용으로 좋음 볼만한 영화입니다,,,,,,,
2808,여주 혼자 다한다,,,,,,,
2809,더 치밀하지 못해 아쉽다.,,,,,,,
2810,신선한 소재,,,,,,,
2811,흥미로운 설정이지만 뻔한 진행.,,,,,,,
2812,투명인간과 스토킹이란 소재를 잘 활용하면서 스릴러 장르에 아주 충실한 훌륭한 작품이 나왔다. 특히 초반 긴장을 쌓아나가는 부분이 너무나 전통적이고 모범적이라 오히려 신선하게 느껴질 정도였다. 거기에 뛰어난 시각효과로...,,,,,,,
2813,그냥 넷플릭스에서 딱히 땡기는거 없을때 보긴 괜찮아요.,,,,,,,
2814,,,,,,,,
2815,그냥저냥 볼만한 투명인간영화,,,,,,,
2816,영화가 상쾌하네요 쾌변한 기분,,,,,,,
2817,끔찍하다정말 끔찍하다,,,,,,,
2818,넷플에서 봤는데 재밋게 잘봤습니다 줄거리는 대충 예상 가능할지 몰라도 연출과 연기가 좋아서 쫄깃한 맛으로 봤네요!,,,,,,,
2819,진짜 재밌어요 추천추천 뻔한 결말이 아닙니다,,,,,,,
2820,인류의 역사를 새로쓸 기술을 발명해놓고 겨우 부부싸움에 쓰고 끝.ㅋ,,,,,,,
2821,이건 그냥 아무것도 모른채 보면 겁나 재밌게 볼 수 있음...  재밌다 재밌어 소오름 평점같은거나 리뷰보지말고 그냥 보세요. 볼때 재밌으면 됐지..,,,,,,,
2822,,,,,,,,
2823,재밌어요!! 스릴러좋아하는데 이런스릴러 짱잼,,,,,,,
2824,여주 언니가 눈앞에서 죽었으니 상심이 얼마나 컸을까! 보는내내 불쌍했다,,,,,,,
2825,10초 앞으로..10초 앞으로,,,,,,,
2826,진정한 독립은 무엇에 의해서가 아닌 스스로 쟁취하는 것,,,,,,,
2827,투명인간 영화치고는 흥미진진하지만 디테일은 좀 떨어진다,,,,,,,
2828,괜찮게 봤어요 몰입도 좋습니다,,,,,,,
2829,"ㅋㅋㅋ 거짓말 아니고 제목을 '인비저블 우먼'으로 바꾼 뒤 OST도 히어로물로 바꾸고 관객들한테 블라인드 테스트 시키면서 ""새로 나온 마블 영화 인비저블 우먼입니다""라고 말하면 백중 백은...",,,,,,,
2830,츙격적이었지만마지막은...,,,,,,,
2831,간만에 쫄깃하고 재밌는 스릴러영화봤다. 진짜 후회안함. 재밌습니다. 그리고 여주의 연기가 너무 훌륭해요... 신파적인 스릴러와 달리 정말 정밀하게 잘 만든 영화에요.,,,,,,,
2832,여주인공 진짜 고구마 ㅋ,,,,,,,
2833,예상외 결말 영화 끝까지 잘 끌고 간 영화,,,,,,,
2834,볼만했으나 스토리상 와이프가 왜 도망가게 되었는지를 초반부에 더 넣었으면 좋았을듯싶음,,,,,,,
2835,설마설마했는데 정말 투명인간일 줄이야 약간 김빠지긴 했음 쏘쏘..,,,,,,,
2836,오우 여주 연기가 반은 먹고 들어감투명인간 소재의 뻔한 스토리긴 하지만스릴러 영화 즐기긴에 괜찮은것같음ㅋㅋㅋ7~8점정도 ,,,,,,,
2837,배우들의 연기는 좋았음. 공포영화인데 공포스럽지 않음. 공포감이 없으니 SF 영화같았음. 잘만든 영화인 것 같은데,,,,,,,
2838,보이지 않는 것에 대한 공포의 소재를 잘 풀어냄. 특히 여자주인공 연기가 매우 인상깊음.,,,,,,,
2839,2020년에 본 영화중에제일 재미있게 본 영화임.,,,,,,,
2840,넷플릭스에서 봤는데 생각보다 너무 재밌어요. 계속 추리하면서 보는 재미 굳! 엔딩도 굳!,,,,,,,
2841,재밌다고 해서 봤는데 쏘쏘돈아까움 sf공포인줄 알았으면 안보는데 참나..어이엄네..그러나 여주인공 연기는 인정!!,,,,,,,
2842,오랫만에 정말 재밌게 봤다. 영화 상영내내 무서웠지만 끝은 후련한..,,,,,,,
2843,여주인공 다 컸네...친구 협박도 할 줄 알고,,,,,,,
2844,개연성이떨어지는감이 다소 있긴한데 그래도 스릴넘치다,,,,,,,
2845,스릴있고 재미있었음. 특히 여자 배우가 연기를 잘해서 몰입도가 있었음.,,,,,,,
2846,정말 재밌게 봤습니다!!!,,,,,,,
2847,재밌더라 ㅋㅋ 안보신분들 한번쯤 보면 기억에 남을 영화입니다,,,,,,,
2848,최고입니다 감동을 받았습니다,,,,,,,
2849,어찌 이걸 가스라이팅과 데이트폭력으로 평가할 수 있는 걸까?평론 참 쉽게 한다는 생각을 뒤로 하고...보이지 않는 공포를 심리적으로 끌고 갔더라면 더 좋았을텐데 SF로 마무리 짓는 건 좀 아쉬울 따름.초반부터 공포를...,,,,,,,
2850,흑인 경찰집에서 일어나는 일들부터 흠칫흠칫 놀라면서 봤는데 중반부터는 뻔해서 그냥 드라마 보듯이 봤네요 한번쯤 볼 만한 영화 같아요스토리 좀 뻔한거 빼면 아주 수준급이에요,,,,,,,
2851,신선하고 스릴있고 재밌음. 우리나라 영화에서도 여자들이 맘껏 참교육하는 거 보고싶다,,,,,,,
2852,오 쵝오연기.연출 돋보이네요긴장감 있는 전개 ,,,,,,,
2853,안 보이는 게 이렇게 무서운 거였다니,,,,,,,
2854,서-프-라-이-즈-,,,,,,,
2855,흑인 친구는 잠 안자냐?? 부르면 바로바로 튀어나와..  그리고 마지막 식사장면에서 상식적으로 여주인공 힘이 더세서 남자 힘을 이기고 목을 긋는다는게 말이 안되잖아. 디테일이 엉망이야.,,,,,,,
2856,그 남자: 서프라이즈~그 여자: 서프라이즈~,,,,,,,
2857,솔직히 요즘 스릴러보면 처참함;;; 재미도 없고그나마 괜찮은 스릴러 나왔음 평균은 한다고 봅니다,,,,,,,
2858,스릴오짐오랜만에긴장하면서봄,,,,,,,
2859,열감지 카메라하나면 걱정끝인데,,,,,,,
2860,평점이 좋아서 봤는데 -_- 뭐야이게. 그냥 유치하다생각듬,,,,,,,
2861,진짜 쫄깃쫄깃했다보는내내..,,,,,,,
2862,할로우맨을 이기지 못한 붐마이크맨,,,,,,,
2863,여자가 처음부터 다 계획한걸까,,,,,,,
2864,그렇게 무섭지 않음. 평점 8점인데 높아서 조절함. 이게 무서우면 귀신영화는 다들 어떻게 보나,,,,,,,
2865,간만에 OOO기 영화 봤음투명인간? 시간 아까움 절대 보지마시오이게 공포라고 평점이 너무과함이걸보느니 반려견 하고 놀아주는게 더나음잼있다고 하시는분들 영화보는 수준이...,,,,,,,
2866,클리셰 범벅 벗 몰입감 굿,,,,,,,
2867,쏘시오패스라는것만 아니면 남자가 훨씬 아까움,,,,,,,
2868,가스라이팅과 데이트폭력을 잘보여주는 영화,,,,,,,
2869,,,,,,,,
2870,,,,,,,,
2871,보는내내 심장이 쫄깃쫄깃! 스릴넘치는 영화였어요~/,,,,,,,
2872,오씨 넷플로보는데도 눈반만가리고봄개무셔 재미셔,,,,,,,
2873,간만에 재밌는 스릴러물 봤다. 웬만한 극에서 반전 대부분 예상가능한 편인데,,,,,,,
2874,개인적으로 너무 재밌게 봤다 공포 보다는 스릴러에 가깝고 마지막 결함에서 살짝 갸우뚱 하지만 역시 대부분이 생각하는 그 결말이 맞는듯하다 여주인공에 연기에 박수를 보낸다,,,,,,,
2875,그럼 여자도 인비저블 이었던거야?지루하지 않게 인비저블 뜻을 그대로 긴장감 있게 나아갔고베이스 음악이 지렸다,,,,,,,
2876,소재는 좋믄데 스토리가 뭐랄까 진부하다..중간중간 지루한부분도 많고..뭔가아쉽다,,,,,,,
2877,존나재밌네 ㅋㅋㅋ스토릭ㅠㅛ굿,,,,,,,
2878,언제 어디서 튀어나올지 모르는 서스펜스가 압권이다. 다락방에서 페인트 부을때 진짜 놀랐다...,,,,,,,
2879,교과서 적인 스토리 전개에 투명인간이라는 철지난 소재를 붙였음에도 연출을 오지게 잘하여 오지게 잼있었음.,,,,,,,
2880,다른건 다 좋은데 여주인공이 좀 답답. 그냥 CCTV보자고 하면 해결되는 문제인데 ㅎㅎ 뭐 그래선 영화가 안만들어지겠지만 ㅋㅋㅋ,,,,,,,
2881,,,,,,,,
2882,그냥 억지 억지다 열자이상,,,,,,,
2883,생각보다 재밌었음. 여주 많이 고생,,,,,,,
2884,진짜 오랜만에 이정도로 재밌는 스릴러를 봤다..,,,,,,,
2885,중반부까지 스릴러 갑자기 장르가 바뀌는데..다른 장르의 영화를 보는 듯. 그래도 전혀 이질감 없고 탄탄한 연출,,,,,,,
2886,예고편을 보고 받지만 스릴있고 재밌었어요 오랫만에 가슴 쫄깃쫄깃해졌던 영화,,,,,,,
2887,겟아웃,,,,,,,
2888,이게 왜 평점이 높은지 이해불가갈수록 지루해짐...,,,,,,,
2889,여주인공 남친이 안보이는 첨단 슈트 입고 설치는 거임 . 마지막 에 여주인공 한테 죽음.,,,,,,,
2890,스토리상 좀 과하게 말도 안되는 부분이 있지만 소재도 신선하고 몰입감 좋은 킬링타임용으론 훌류함 작폼,,,,,,,
2891,나쁘지 않은 전체 분위기에 비해 후반부가 조금 아쉬운건 사실임,,,,,,,
2892,이러면 안됩니다. 쓰레기를 먹고살순  없어요..이러면 안됩니다. 쓰레기를 먹고살순  없어요..이러면 안됩니다. 쓰레기를 먹고살순  없어요..,,,,,,,
2893,지루할 틈이 없이 재밌게 봤어요,,,,,,,
2894,투명인간이 주는 공포를 이렇게 다층적으로 활용할줄 몰랐다. 긴장감을 주는 연출 상의 아이디어들도 세련됐다.,,,,,,,
2895,공포영화라고 보기에는 무서움이 없다. 주인공의 심리적 압박감을 공포적 연출보다는,,,,,,,
2896,몰입감 개쩔었규  투명인간 정체가 더 놀랐다,,,,,,,
2897,멜리사매카시가 연기를 잘한다고 블랙위도우역 시키면 관객들이 몰입하나?... 부족한 디테일에도. 재밌다는 관객들 불쌍,,,,,,,
2898,공포영화가 아니라 sf영화였다.,,,,,,,
2899,존잼 개연성이 살짝 떨어지는 부분도 있지만 전체적으로 그래도 긴장감 있게 몰입하며 봤고 결말도 괜찮았고 음향이나 연기 모두 완벽~~~,,,,,,,
2900,마지막에 반전을 최대한 늦추려고 남주의 표정을 계속 클로즈업해서 긴장감이 더했던것 같은데 마지막에 여자가 범인의 집에 찾아간다고 했을때부터 좀 이상하긴했음 ㅋㅋ 거길왜가? 설마?? 라는 의구심부터 반전을 예상했는데 ...,,,,,,,
2901,영화 시작 처음부터 후반부까지 소재 생각했을때 나올법한 뻔한 장면들만 주구장창 보여주더니 결말은 또 왜 그따구냐...거기서 그런 메시지를 내비칠 줄 몰랐다..아무 맥락도 없고 황당하기만 함....재미 없는거 평 괜찮...,,,,,,,
2902,몰입도는좋아요 초반엔좀지루깜짝놀라긴했으나 솔직히 킬링타임용남편잘생김 근데 후반에 이해안됨그냥 배우자가 잘생기고 돈많아도 족쇄차는생활하면소용없다 이런결말,,,,,,,
2903,왜 이 영화를 공포영화로 분류를 했을까? 투명인간 수트가 참 그럴듯해 보이던데 차라리 수트에 포커스를 맞추어서 SF장르로 만들면 어떨까 싶다. 첨단광학기술을 이용하여 착시를 일으킴으로써 투명인간이 되는 수트를 생각하...,,,,,,,
2904,스릴넘치고 반전이재밌다,,,,,,,
2905,여주인공 때문에 집중이 안된다.,,,,,,,
2906,평점 처음인데 이걸 기재 할 만큼의 가치가 있었습니다. 안전한 때에 꼭 관람해 보세요.,,,,,,,
2907,공포느낌 난 거의 못느꼈고... 초반에 좀 졸았는데 ... 재밌었음ㅋㅋㅋ 거의 머 스파이더맨 시리즈 같은 공상과학영화느낌,,,,,,,
2908,연기가 미쳤다,,,,,,,
2909,유머 포인트 하나도 없이 오로지 스릴로 몰입하게되는 영화 청각적으로 스릴을 더 극대화시킴.,,,,,,,
2910,공포지수보다 긴장감 지수가 높다이 여주 역할 연기한 배우 진짜 대단하다 ㆍㆍ ㄷㄷ 연기너무 잘 해줘서 덕분에 진짜 몰입해서 봄또 소리가 너무 긴장감에 한 몫 했음 잘 봤다,,,,,,,
2911,다보고 나면 승모근아픔...,,,,,,,
2912,최고.  말이필요없는 영화.,,,,,,,
2913,막 엄청 무섭거나 스릴있거나 하지는않았지만현실적으로 앞으로 있을수있다는 점을 느끼고주인공 캐릭터의 답답함과 기분을 잘 전달해준것같다,,,,,,,
2914,귀신안나온다면서여.. 개밥그릇만 떨어뜨려도 무서워요..ㅜ ㅡ ㅜ 직원언니 언제오나여 너무 무서워욤 무서운데 아무도없음....오지마염 솔로는 오지마염.. ㅜ ㅡ ㅜ경고했움 영화관에 아무도없어요 아직한시간 남았눈데.. ...,,,,,,,
2915,기대 안하고 봤는데 무숍..,,,,,,,
2916,연기는 좋았으나 개인적으로 흥미진진하거나 신박하지는 않았어요.그냥 쏘쏘 기대를 많이했나봅니다.,,,,,,,
2917,긴장감으로 심장이 철렁철렁,,,,,,,
2918,,,,,,,,
2919,정말 재미있었어요!!!! 짱짱입니다.,,,,,,,
2920,,,,,,,,
2921,막 무서운 장면은 없는데 중간중간 깜짝깜짝 놀람 볼만해유,,,,,,,
2922,,,,,,,,
2923,오랜만에 볼만한 영화였어요..,,,,,,,
2924,ㅊㅊ재미있어요ㅋㅋ소시오페스,,,,,,,
2925,,,,,,,,
2926,너무 재미있었어요ㅠ 감동이였어여ㅠㅠ,,,,,,,
2927,진짜간만에본영화중에긴장감있습니다. 스토리,,,,,,,
2928,안 보이는 악역을 통해 일상 속에 스며든 공포를 제대로 느낄 수 있었으며,,,,,,,
2929,,,,,,,,
2930,꿀잼 10자10자10자,,,,,,,
2931,생각보다는 아니었지만심장 쫄깃해지긴 함,,,,,,,
2932,안보여서 공포스러움 깜짝깜짝놀람여자주인공 연기좋았다,,,,,,,
2933,카메라 무빙에 무서움 극대화,,,,,,,
2934,,,,,,,,
2935,내용 자체도 신선했고 크게 뭐가 있진 않지만 공포감 분위기로 인해 스릴있게 잘 봤습니다!,,,,,,,
2936,,,,,,,,
2937,별로 기대 안하고 봤는데 너무 재밌었어요 ...긴장감 굿ㅎㅎㅎ,,,,,,,
2938,보다가 너무 무서워서 혀 씹음,,,,,,,
2939,에스에프공포영화네요. 카메라를 활용한  상상력이 기발해요.,,,,,,,
2940,졸라맨 나올 때부터 노잼,,,,,,,
2941,여주 표정 연기가 다했지 솔직히.. 말안되는 부분이야 많겠지만 영화일뿐이니 넘어가고관객을 의심하게하고 추리하게하는 면에선 곡성 다음급이다,,,,,,,
2942,영화관에 나밖에 없어서 너무 좋았다 ㅡㅋ,,,,,,,
2943,독창성 보다 익숙한 것을 가공하는 능력.,,,,,,,
2944,초반부에 방심하다가 아씨!! 햇다! 중반부에 콜라다 쏟을뻔 햇따!후반부에 손에 땀낫다끝나고 주위담앗다...,,,,,,,
2945,집착하는 남자로부터 달아나는 여성이라는 익숙한 이야기가 새로운 소재를 만나니 새로운 이야기가 되었다.,,,,,,,
2946,내 취향의 공포영화임. 진짜 이런영화 계속 나왔으면...투명옷 발명한 천재가 소시오패스 여자를 잘못 만나 당하는 영화네ㅎㅎ,,,,,,,
2947,자칫하면 유치할수도있는 소재를 연출도 너무 잘했고 생각보다 재밌게 너무 잘만들었음..네이버 평점 잘안다는데 이건 너무 스릴잇고 재밌게봤네요. 예상되는 결말임에도  중간중간 글두 심심치않게 넣어둔 장면들이 영화를 지루...,,,,,,,
2948,재밌고 너무 여주에게 이입돼서 힘들었음,,,,,,,
2949,서프라이즈 한 마디가 다 설명 됨,,,,,,,
2950,처음엔 뭔지 모르고 봤다.점점 조여오는 공포속에 어느순간 내가 소리를 지르고 있다. 소오름,,,,,,,
2951,진짜 재밌어요ㅋㅋㅋㅋ겟아웃이랑 어스보다 재밌게 봤어요,,,,,,,
2952,애드리안 날 가져라. 내가 잘할게,,,,,,,
2953,안봤으면 크게 후회할뻔 .. 스토리  반전.. 여배우연기력 지린다.... 볼때는 크게 공포스럽지 않은데  이상하게 극장을 나오면서부터 뭔가 공포감이 엄습.... 뭐지.... 혹시...,,,,,,,
2954,우리나라 베리*녀의 말이 사실이어서 복수했으면.,,,,,,,
2955,연기력도 연기력이고,,,,,,,
2956,아이 식빵 슈트 환공포증 환장하겠네 아 생각했더니 닭살  그거알지 연밥? 싯밥,,,,,,,
2957,하,,,,,,,
2958,공포물에서 갑자기 분위기 sf,,,,,,,
2959,최첨단 투명슈트를 고작 스토킹따위에 쓴다는 점이 마치 좋은소재로 그저그런 작품이나 완성했다는 것과 닮았네?,,,,,,,
2960,말도 안되는 허무맹낭한 스토리에..,,,,,,,
2961,남주가 여주를 죽일 마음이 없는데 무슨 긴장감이 생긴다는건지...이게 무슨 공포영화라고,,,,,,,
2962,다 알바들일까? 그냥 투명인간과 싸우는 영화 아닌가 스토리도 엉망에다가 연출도 엉망..초반10분만 볼만했다,,,,,,,
2963,여자 주인공이 넘 별로임..못...생,,,,,,,
2964,짜맞추는 느낌이 너무 드러나게 보이니 유치한 감이 있고 그 유치한 느낌때문에 재미가 반으로 떨어집니다. 여주인공 연기력은 정말 좋으나 아쉬운점은 어쩔수가 없군요..,,,,,,,
2965,여주한테 집착할만한 이유가 뭐가 있는지 보는 내내 의아했음. 남주가 소시오패스라니까 정상은 아닐테니 뭐 취존..,,,,,,,
2966,이시국에 영화본다고 영화관 니네인생이 공포영화,,,,,,,
2967,,,,,,,,
2968,연기력 최고 짱짱 추천해요,,,,,,,
2969,영화 진짜 멋있다. 보는 내내 재밌었다.,,,,,,,
2970,와진짜 초반부터 끝까지 지루할틈이 없음 서프라이즈~!,,,,,,,
2971,처음엔 영화 세븐이나 파이트클럽처럼 제2의 자아 본인이 해놓고 모르는 뻔한 반전 스릴러 인줄 알았음. 계속 여주를 의심했었는데,,,,,,,
2972,시작부터 심장이 터지는 줄,,,,,,,
2973,기대만큼 재밌게 봤음굿굿굿,,,,,,,
2974,여주인공을 내가 죽이고싶은 영화 말이 된다고 생각하나차라리 여주인공이 수트갖고 나가면서 어벤져스 합류하는게 나을듯,,,,,,,
2975,인비저블맨아니고우먼..,,,,,,,
2976,이게 공포인지 스릴러인지  SF인지.'나를 찾아죠'를 약간 따라한것 같기도 하고.머 건질만한것이 없었음.,,,,,,,
2977,스토커는 종신형을 내려야함.,,,,,,,
2978,고~구~마~고~구~마~고~구~마~고~구~마~고~사이닫!! 끝,,,,,,,
2979,기대하고 봤지만 시간아깝다,,,,,,,
2980,보지마셈,,,,,,,
2981,내내 긴장하며 봤고 마지막 결말 진짜 스마트하고 통쾌하다,,,,,,,
2982,이거 성공해야 드라큘라를 볼 수 있어.... 이전 드라큘라는 설정빼고 좋았는데 무산됐나보네 제발 다크유니버스성공하길.. 드라큘라좀 보자,,,,,,,
2983,예고편 보고 꿀잼일 것 같았는데 재밌긴했다우선 소재가 좋았고,,,,,,,
2984,초반까지만 괜찮고 급하게 망하는 영화. 초반까지는 남주 살아있음 vs 남주 사망 여주 자아분열 을 추리하는 대작인줄,,,,,,,
2985,뭔가 좀 아쉽다 반전하지말지,,,,,,,
2986,스토리는 황당하지만...연출과 연기는 좋았다..그리고...여주....왠지 너가 조금 더 무섭더라..,,,,,,,
2987,이 영화는 포기할 수 있는 상황에서 포기하지 않는 강인함에 대해 생각하게 하는 영화이다.,,,,,,,
2988,긴장감 있고,,,,,,,
2989,여배우 포스터 이미지랑 많이 다름 ㅋㅋ 처음 주인공 아닌줄~ㅋㅋ아쉬운건 마지막에 솔직히 좀 어거지 엔딩 결말임..ㅠㅠ,,,,,,,
2990,솔까 노잼노잼노잼잼잠,,,,,,,
2991,중반까지는 솔직히 지루했다. 옆에서 같이 보던 친구는 아예 잠들어버렸다. 스릴러나 공포영화인데 관객이 지루해서 잠들어버렸다는 것은 꽤 큰 타격인 것 같다. 그렇지만 중후반 이후로 스토리 전개가 제 속도를 찾고,,,,,,,
2992,안무서움 루즈함 답답함 그냥 전체적으로 별루임,,,,,,,
2993,잼나서 추천.여배우 쌍판은 진짜 아웃,,,,,,,
2994,와...오랜만에 수작을 봤습니다. 그녀의 꼬인 인생이 내 인생을 보는거 같아 감정이입이 되었습니다. 스토리와 연출이 좋았습니다. 연기자들의 연기도 괜찮았습니다. 보이지 않는 것에 대한 공포감을 충분히 잘 살렸습니다....,,,,,,,
2995,공포는 아니고 스릴러에 가까움.초반에 루즈하다가 중반부터 미친듯이 달림.기대안하고 봤는데 특히 결말이 만족스러워서5점.,,,,,,,
2996,광학 슈트라는 참신한 소재로 기존의 투명인간 영화의 틀을 깬 영화였다. 연출과 공포스러운 분위기와 음향  때문에 몰입도와 스릴이 있었고 반전도 있어서 좋았다. 20년전 할로우맨도 좋았는데 이것도 이거 나름 재미있게 ...,,,,,,,
2997,아니 이거 진짜 재밌어요... 진짜로 ㅠㅠㅠㅠ 막 말이 안되는것도 아니고 적당히 무섭게 볼만한 영화인것같아요..,,,,,,,
2998,무서움이 서프라이즈~*,,,,,,,
2999,,,,,,,,
3000,콰이어트 플레이스보다 더 조용하고 더 쫄깃. 공포가 두시간 반이나 하는데 시간 가는 줄 모름.,,,,,,,
3001,인비저블맨 영화봤는데 놀라는 부분도 있꼬 살짝 잔인한 부분도 있었지만 배우자들 연기도 대단하고 시 여주인공이 특히나 연기를 잘해서 놀랐다. 인비저블맨 영화는 살짝 놀래키는 장면도 아닌데 나 혼자 놀랄준비하게 만드는 ...,,,,,,,
3002,여주 연기 잘 함. 짱잼!!!,,,,,,,
3003,이건 정말 완벽한 스릴러다    시작부터 결말까지 딱떨어지는 스토리,,,,,,,
3004,흥미로운 점도 있는 데 나중에 가면 그 부분들이 많이 감소되는 영화입니다.,,,,,,,
3005,여주인공에게 깊게 감화된다면 무서웠을지도 모르겠으나 내가 느끼기엔 아주 애매모호한 스릴러같았다.무서운 영화는 질색해서 영화 오싹한 로맨스도 드라마 델루나도 못봤건만 이 영화를 볼때만큼은 지루함과 졸음을 참으면서 봤다...,,,,,,,
3006,"작년에 개봉한 ""더 보이(브라이트 번)"" 처럼 악이 승리하면서 끝냈어야 했다 결말 너무 식상함",,,,,,,
3007,꽤나 높은 몰입도 중간까지 이어지는 혼란함..그러나 막판에 긴장의 끈이 쑥 풀려버리는 바람에..아무튼 꽤나 볼만한 영화임..,,,,,,,
3008,이 영화는 국내 개봉 제목이 문제다 걍 투명인간으로 했으면 관객들이 더 많이 봤을거다 50여년전에 만들어진 원작 영화로부터 파생된 온갖 컨텐츠들 때문에 우리나라에서 투명인간이란 제목이 훨씬 친숙하거든 노년층도 투명인...,,,,,,,
