,content,,,,,,,,,,,,,,,,
9857,뭐 이런 뭐같은.  장르가 뭐임?  음...  진정  인간이 멍청해서 A.I가  지  창조주인 인간을  우습게 본거는 맞는듯  ㅋㅋ.   주인공들이 다 생각없이 멍청해,,,,,,,,,,,,,,,,
9858,프로메테우스 줄거리를 까먹어서 그런가 에이리언 탄생 배경을 추적하려는건지 공포물을 만드려는건지 결국 이도저도 아닌 영화가 됐다.,,,,,,,,,,,,,,,,
9859,에일리언 단편으로 보면 나쁘지 않았다. 문제는 이 영화는 에일리언 시리즈이기도 하지만 프로메테우스의 속편이란 점이다. 프로메테우스에서 가진 기대를 너무도 져 버렸다.. 가능하다면 보기 전으로 돌아가고 싶다.. 감독판...,,,,,,,,,,,,,,,,
9860,재미없다는 인간들이 이해가 안가네 ㅎㅎ,,,,,,,,,,,,,,,,
9861,뛰어난 몰입도,,,,,,,,,,,,,,,,
9862,최고였습니다. 말이 필요 없네요,,,,,,,,,,,,,,,,
9863,이번에도 온 몸에 전율을 느끼게 해준 영화였어,,,,,,,,,,,,,,,,
9864,스콧감독님 알라뷰 ㅋㅋ앞으로 나올 에일리언도 기대합니다!!,,,,,,,,,,,,,,,,
9865,재밌게 봣습니다 다음편 기댜됨,,,,,,,,,,,,,,,,
9866,와 ..이건 진심으로 엄청났습니다에일리언 시리즈 상 가장 중요한 떡밥을 하나스콧감독이 이야기를 해줬구요봐서 정말 다행이라고 생각합니다,,,,,,,,,,,,,,,,
9867,에어리언 시리즈의 완벽함을 이루어 줍니다 역시 3편을 위한 반전도 있구요,,,,,,,,,,,,,,,,
9868,프로메테우스 속편을 원하든 원조에일리언팬모두를 만족시킬만합니다. 몰입도 높고 떡밥도 다 정리해주네요..,,,,,,,,,,,,,,,,
9869,프로메테우스에서 던진 떡밥을 해결해주는 영화 ㅎㅎ,,,,,,,,,,,,,,,,
9870,전작 프로메테우스 같이 철학적,,,,,,,,,,,,,,,,
9871,치기직이  기대되는 잼있게 봤어요,,,,,,,,,,,,,,,,
9872,지루해요.... 스케일은 큰데 마지막에만 좀 잼있고,,,,,,,,,,,,,,,,
9873,킬링타임용으로~마무리가 아쉽다~요즘 박근혜때문에 영화를 봐도 재밌지가 않네그려~~,,,,,,,,,,,,,,,,
9874,에이리언 팬이라면 그럭저럭 보겠지만 다른사람들한테 추천하기는 애매한..,,,,,,,,,,,,,,,,
9875,에어리언 이라는 주제와 좀 떨어지는 듯한 영화,,,,,,,,,,,,,,,,
9876,반전은 정말 끝내줍니다용,,,,,,,,,,,,,,,,
9877,2번 3번 보세요 보고나면 기분이 찜찜하게 하지만 흡입력은 역시 b,,,,,,,,,,,,,,,,
9878,재밌었어요ㅎㅎ굳뜨ㅎ,,,,,,,,,,,,,,,,
9879,여러분은 분명,,,,,,,,,,,,,,,,
9880,好失望了，不想??了,,,,,,,,,,,,,,,,
9881,후 혈압 올라 에휴 ㅠㅠ 으아키킼카카카,,,,,,,,,,,,,,,,
9882,끝났음에도 불구하고 자리에서 일어날 수 없었던… 짱짱,,,,,,,,,,,,,,,,
9883,솔직히 시간 ,,,,,,,,,,,,,,,,
9884,관람 후에도 심장이 벌렁벌렁한거 나뿐인가여.. ㅜ ㅜ,,,,,,,,,,,,,,,,
9885,처음부터 마지막까지 실망 시키지 않는군!,,,,,,,,,,,,,,,,
9886,지금 보고 왔는데 대박.. 완전 몰입감 쩔음,,,,,,,,,,,,,,,,
9887,아까 심림에서 12:30에 영화 보는데 부모님과 온 꼬마애가 덜덜 떨면서 영화 보더라고여... 이건 아닌듯....그리고 마지막.... 창조.... 리들리 형님 믿고 봅니다.,,,,,,,,,,,,,,,,
9888,이 영화 보지 마세요 암걸림,,,,,,,,,,,,,,,,
9889,너무기대한건지 뻔한 스토리 이어지는 다음내용 바야겠음,,,,,,,,,,,,,,,,
9890,그냥 청불로하지 뭐하러 15세 무리수를 둔건지참,,,,,,,,,,,,,,,,
9891,프로메테우스와 에이리언 1편 사이의공백을 짜임새 있게 채워준 영화,,,,,,,,,,,,,,,,
9892,솔직히 고만고만. 호기심은 해결해줌,,,,,,,,,,,,,,,,
9893,여전사 너무 멋있는거 아님?!!,,,,,,,,,,,,,,,,
9894,징그럽고 긴장되고 인공지능 노답,,,,,,,,,,,,,,,,
9895,기대한 만큼은 아니여서 좀 아쉽네요 ㅠㅠ 그래도 중간 중간 놀라는 요소나 기대를 안했던 갑판위 전투씬 같은 액션 장면이 의외로 영상이 좋아요 ㅎㅎ,,,,,,,,,,,,,,,,
9896,전편과 비교하면 긴장감은 떨어집니다 에일리언2 가 짱엔딩자막올라오는 데 무언가 허전한 느낌 ^^,,,,,,,,,,,,,,,,
9897,독특하게 죽이는거랑 잔인한거 빼면 그렇게 재밌진 않았어요,,,,,,,,,,,,,,,,
9898,아쉬운 각본,,,,,,,,,,,,,,,,
9899,로보트는 믿으면 안됨,,,,,,,,,,,,,,,,
9900,보구 나니 왜 15세인가  알것같음  전투신 노 긴장감 노  끝이 보이는 결말  기대한것 보다  실망  특이 전투신 부족,,,,,,,,,,,,,,,,
9901,프로메테우스를 재밌게 봐서 너무 기대를 했던 탓인지 기대보다는 못 미치는 느낌..근데 영화관에 애들 데리고 온 부모들이 많던데 이런 영화를 굳이 온 가족이 감상할 필요는..ㅜ,,,,,,,,,,,,,,,,
9902,기다와 달리 실망감이 존재하지만 공포감 하나로는 영화가 끝난후에도 잔잔하게 오싹함을 주는 매력이 있음,,,,,,,,,,,,,,,,
9903,고구마먹은 답답함과 짜~~증,,,,,,,,,,,,,,,,
9904,에이리언 시리즈 팬이라면 좋아할만하나,,,,,,,,,,,,,,,,
9905,좀 싱겁다. 결국 인조인간이  에일리언의 숙주란 얘긴가?,,,,,,,,,,,,,,,,
9906,[에이리언] 1편의 공포,,,,,,,,,,,,,,,,
9907,1편 떡밥들 회수 조금 하다가 2편 떡밥들 풀어버림 결론은 더 답답하고 3편이 기다려진다는점..2시간짜리 예고편 본 느낌입니다. 엔지니어들의 설명과,,,,,,,,,,,,,,,,
9908,솔직히 좀 지루하고 재미없어요.. 영화보는 분들 예의좀 지킵시다.   영화시작30분정도후 들어와 화면가리고 옆에 앉아서도 휴대폰 확인하고 옆사람이랑 얘기하고 음료수 마시면서 서리내고.. 영화에 집중하기가 힘들었네요....,,,,,,,,,,,,,,,,
9909,프로메테우스에서 던져줬던 온갖 떡밥들을 해결해주는구나 ㅋ,,,,,,,,,,,,,,,,
9910,기대 이하... 기대가 너무 컸었나?,,,,,,,,,,,,,,,,
9911,시간때우기용으로 볼만함,,,,,,,,,,,,,,,,
9912,에이리언1+프로메테우스+2001스페이스오디세이,,,,,,,,,,,,,,,,
9913,프로메테우스가 10점이라면 커버넌트는 8점 수준,,,,,,,,,,,,,,,,
9914,이정도 수준의 SF는 프로메테우스 이후로 없었다. 그러나 액션보다 너무 메세지에 치중한 듯한 느낌이 아쉽다.,,,,,,,,,,,,,,,,
9915,프로메테우스의 애매한 속편. 이영화의주인공은 프로메테우스AI 데이빗. 에에리언 시리즈 특유의 고전미 없고.그냥 궁금증만 해소하고 적잖이 실망하고 옴. 15세 관람가는 아닌듯.,,,,,,,,,,,,,,,,
9916,호수앞 오두막집 로봇 A.I 의 공포,,,,,,,,,,,,,,,,
9917,엄청까진 아니고 재밌다. 조조로 봤는데 졸려서 조금졸다가 재밌어서 깸,,,,,,,,,,,,,,,,
9918,전작들에 비해서는 임팩트가 약하지만 긴장감과 시간은 잘가는것 같습니다 너무 많은 기대는 실망을 앉겠지만 그냥저냥 생각하고가면 볼만합니다,,,,,,,,,,,,,,,,
9919,스릴감은 좀 덜했어요 그래도 잼있게 보긴했어요,,,,,,,,,,,,,,,,
9920,에일리언 시리즈의 프리퀄로써 재미있게 잘 보았네요.그런데,,,,,,,,,,,,,,,,
9921,에어리언 시리즈를 좋아하시는 분들 강추 생소하신분들은 좀 애매합니다,,,,,,,,,,,,,,,,
9922,스리럴와 SF 좋아하는 사람들에게 강추함.,,,,,,,,,,,,,,,,
9923,에일리언의 탄생 재미있네요,,,,,,,,,,,,,,,,
9924,재미잇을꺼같아요전이영화기다리고잇어가든요,,,,,,,,,,,,,,,,
9925,댓글만 봐도 영화 내용 다나오네... 스포좀 작작해요;; 겲말은 뻔했지만 재밌었음,,,,,,,,,,,,,,,,
9926,어릴때 티비서나 보던 에일리언시리즈.. 드디어 영화관에서 봤다. 역시 재밋고 쫄리는 맛도 여전하다 . 7편분인가 시나리오가 더 있다고 하던데리들리스콧 감독 건강챙겨서 쭉쭉 더 만들어주길 ㅎㅎ,,,,,,,,,,,,,,,,
9927,감독님존경여주멋있다로봇 발암,,,,,,,,,,,,,,,,
9928,프로메테우스를 보았건 보지 않았건에일리언에 향수가 있으신분 ...감독이 리들리 스콧이라는 것만으로도 믿고 볼만했습니다...SF장르의 영상미 연출력 뭐하나 흐트러짐이 없었네요 다만 에일리언과 전투만을 생각한다면 아쉬울...,,,,,,,,,,,,,,,,
9929,언제나 그랬듯 기다린 보람을 만족시켜준 sf 다운 리들리 스콧 표 영화. 보는내내 쫄깃쫄깃 했음 ㅋ 공포,,,,,,,,,,,,,,,,
9930,역시 기대 이상이다.~  무조건 봐라,,,,,,,,,,,,,,,,
9931,처음에 지루하고 예상 가능한 반전도 있지만ㅎ생각하지못한 반전도 있는 그런 영화,,,,,,,,,,,,,,,,
9932,아침부터 몇 번을 놀랐는지...,,,,,,,,,,,,,,,,
9933,에일리언 떡밥이 풀렸다는것만으로도 10점이요,,,,,,,,,,,,,,,,
9934,행동에는 이유가 있다. 패스밴더가 머리깍는이유!!,,,,,,,,,,,,,,,,
9935,크 졸잼 10점 주고갑니다,,,,,,,,,,,,,,,,
9936,반전이 괜찮았다. 프로메테우스 이후 그런 과정이 있을줄은 예상 못했는데 충격적이었다.,,,,,,,,,,,,,,,,
9937,완전 경악 근데 맨 마지막에 어떻게 데이빗이 된거죠?  그 둘이 싸울 때 월터를 죽인건가요?  그러면 팔을 어떻게 잘려져 있죠?,,,,,,,,,,,,,,,,
9938,에일리언의 오랜팬으로서 프로메테우스와 에일리언 커버넌트로 이렇게 스토리를 만들어내고 세계관을 넓히는 것만으로도 감사할뿐입니다. 새롭게 등장한 네오모프와 제노모프의 모습을 만나는것도 너무 좋고 요. 두번 보니까 재미있...,,,,,,,,,,,,,,,,
9939,기대에 완벽히 충족되진않았지만 재밌게보았슴다 어웨이크닝 기대해봅니다,,,,,,,,,,,,,,,,
9940,프로메테우스 후속작 다왔다 3편이 매우 기대됨,,,,,,,,,,,,,,,,
9941,정말 기대했었는데... 그래도 평타는 넘긴거 같다. 다음 에이리언을 또 기다려야겠네.,,,,,,,,,,,,,,,,
9942,긴장감 최고조에 이르는 영화다..,,,,,,,,,,,,,,,,
9943,크..역시 에일리언은 씹고 뜯고 맛보고 즐겨야지 에일리언이지,,,,,,,,,,,,,,,,
9944,에이리언 시리즈와는 또다른 매력을 가진 프로메테우스가 남긴 문학적인 떡밥들을 잘 회수햇느냐,,,,,,,,,,,,,,,,
9945,에이리언 시리즈와는 또다른 매력을 가진 프로메테우스가 남긴 문학적인 떡밥들을 잘 회수햇느냐,,,,,,,,,,,,,,,,
9946,진짜 영화보면 생각나는건 마이클 패스밴더의연기...초점없는눈이 진짜 안드로이드같다.압도함 진짜,,,,,,,,,,,,,,,,
9947,명감독 리들리 스콧은 표창장을 부여합니다 ~~~~,,,,,,,,,,,,,,,,
9948,에일리언 퀄이 너무 떨어져서 좀 웃겼음,,,,,,,,,,,,,,,,
9949,데이빗 개새 결말이래끝내야했냐?,,,,,,,,,,,,,,,,
9950,nnmmmnnmmnnmn,,,,,,,,,,,,,,,,
9951,자신은 신이 되고 싶어하나 결국은 필멸자에 그칠 데이빗.,,,,,,,,,,,,,,,,
9952,ioukyuitryurty,,,,,,,,,,,,,,,,
9953,전 프로메테우스보다 더 재미있게 봤어요,,,,,,,,,,,,,,,,
9954,재밌긴 한데 뭔가 아쉽다 .뭔말인지는 영화 본 사람들은 알 것 .,,,,,,,,,,,,,,,,
9955,페리스 장난하나 답답해서 못보겠네,,,,,,,,,,,,,,,,
9956,아마추어 탐험대의 좌충우돌 오지탐험기. 값비싼 우주선을 즉흥적이고 감정적인 칠푼이들에게 맡겨선 안 된다는 교훈.,,,,,,,,,,,,,,,,
9957,스토리는 전반적으로 맘에들었고 에일리언 식상한 재료를 연출력으로 살린것도 괜찮았다 다만 주인공을 제외한 따까리들 삭제 시키는 장면들은 너무 허무하거나 공포영화 항상 존재하는 혼자남으면 OOO 식상한거 고만봤으면 좋겟...,,,,,,,,,,,,,,,,
9958,담배가 왜 해로운지를 보여주는 본격 금연홍보대사 영화,,,,,,,,,,,,,,,,
9959,인간의 최후는 어디인가?,,,,,,,,,,,,,,,,
9960,베댓들 개웃겨 ㅋㅋㅋㅋ,,,,,,,,,,,,,,,,
9961,왜 그랬졍 ..ㅠㅠ 인공지능아,,,,,,,,,,,,,,,,
9962,철학적 내용만 빼면 다 좋았다,,,,,,,,,,,,,,,,
9963,그만우려먹을때도 된것같다. 흥미롭게시작했다가 중반넘어가면 다 똑같아지네,,,,,,,,,,,,,,,,
9964,영화 라이프 보는것 같습니다 그저그럼..,,,,,,,,,,,,,,,,
9965,진짜 실없는 내용으로 시간때우려고 발악을 하네. 현실성을 바라진 않지만 과학자들이 에일리언 붙었을때 대기권벗어나서 얼려죽일 생각을 못했나?,,,,,,,,,,,,,,,,
9966,시리즈 관통하는 주인공은 사실상 데이빗인듯... 에일리언 시리즈처럼 다음편에서도 이번작 인물들은 다 죽고 시작할듯..(리플리제외)  다만 전작들과 다르게 이번편에선 너무 비극적이라 재미는 있었지만 기분이 썩 유쾌하진...,,,,,,,,,,,,,,,,
9967,프로메테우스보고 바로 이어서봤는데.. 하극상을 좋아하진않지만 웬만한 공포영화 스릴러영화 못지않게 긴장감있으면서 스토리도 짐작은 가지만 전작에 이어서 잘 짜여졌고 외계인-인간-로봇-에이리언 창조를 키워드로한 세계관설정...,,,,,,,,,,,,,,,,
9968,"39분까지 지겹지만 그 이후로 집중해서 봤습니다 영화보시기전에 ""에일리언 프로메타우스""를보시고 보면 더욱더 재미있습니다~^^",,,,,,,,,,,,,,,,
9969,외행성인데 프로토콜 없나..? 수트도 없이 외행성 탐사가 말이됨?,,,,,,,,,,,,,,,,
9970,리들리 스콧 감독이 에이리언 시리즈 원조인데 에이리언이라는 소재를 못 살렸다는건 무슨 소리냐ㅋㅋ,,,,,,,,,,,,,,,,
9971,만들어 진 것이 새로운 세계의 신을 꿈꾼다. 기존 질서의 파괴,,,,,,,,,,,,,,,,
9972,전작이 너무 강렬했었지.,,,,,,,,,,,,,,,,
9973,오랜만에 통쾌하고시원했던 영화! 4D라 더좋았네요,,,,,,,,,,,,,,,,
9974,속편이 어느 정도 그려진다.,,,,,,,,,,,,,,,,
9975,전편보다는 못했지만 걸작임에는 분명하다,,,,,,,,,,,,,,,,
9976,기대이상으로 새롭고 재미따. 몰입감이 좋았음.,,,,,,,,,,,,,,,,
9977,재밌어용 좀 잔인했지먼 ㅠ,,,,,,,,,,,,,,,,
9978,굿이에양우와아아앙짱이다앙,,,,,,,,,,,,,,,,
9979,반전과 긴장감,,,,,,,,,,,,,,,,
9980,에이리언 그후 프로메테우스 그전,,,,,,,,,,,,,,,,
9981,흥칫뿡 ㅡㅡ 1탄 돌려내!,,,,,,,,,,,,,,,,
9982,ㅅㅂ 이래서 al가 무서운거임..,,,,,,,,,,,,,,,,
9983,역시 리들리 영감이다. 속편제작 빠르게 해줘요,,,,,,,,,,,,,,,,
9984,재밌게 잘 봤던 영화. 액션씬이 조금 더 있었으면하는 아쉬으ㅡㅁ,,,,,,,,,,,,,,,,
9985,좋은 영화 에어리언을 좋아한다면 보기를,,,,,,,,,,,,,,,,
9986,에일리언 시리즈 다보고 보니까 엄청 재밌다..ㄷㄷ 움직임이 달라 옛날이랑,,,,,,,,,,,,,,,,
9987,서스펜스가 좀 약하지만 시리즈 의  독창성은  유지하고 있다.,,,,,,,,,,,,,,,,
9988,늘똑같다.. 감염의 끊임없는 연속.. 그럼에도 다음편 볼듯,,,,,,,,,,,,,,,,
9989,그럭저럭볼만했네요 킬링타임,,,,,,,,,,,,,,,,
9990,정말재밋습니다짱짱짱,,,,,,,,,,,,,,,,
9991,에일리언시리즈  진짜너무좋아아앙,,,,,,,,,,,,,,,,
9992,전쟁영화 아닌 휴머니즘..상당히 난해함,,,,,,,,,,,,,,,,
9993,그냥그냥 볼만함~언제 본건데....이제 후기 쓰다니...,,,,,,,,,,,,,,,,
9994,스펙터클한 영화 좋습니다,,,,,,,,,,,,,,,,
9995,스릴넘침 반전도 있고 재밌음,,,,,,,,,,,,,,,,
9996,다 제쳐두고 목욕씬을 보면서 영등위에게는 삭제된 부분을 보여줬나? 라는 생각이 들었다.,,,,,,,,,,,,,,,,
9997,고전 에일리언 생각도 나고 참 잘 만들긴 했는데 갑갑하다. 월터의 최후때문에 기분 상한다. 조낸...  월터 돌려내!!!! 데이빗만 아니었으면 10점 줬을 것 같은데. 깝깝하다~~,,,,,,,,,,,,,,,,
9998,에이리언의 음침한 분위기가 제대로 살아있다.,,,,,,,,,,,,,,,,
9999,쫄깃하면서도 어딘지 탱탱불어있다가 또 쫄깃하다가.. 대체로 재밌는 영화 정도?,,,,,,,,,,,,,,,,
10000,반전은 예상하기 쉬웠겠지만 스토리는 쇼킹하다,,,,,,,,,,,,,,,,
10001,에이리언 시리즈를 본 사람은 알것이다..시리즈에서 정신이 멀쩡한 로봇이 나온적 없다는걸..,,,,,,,,,,,,,,,,
10002,이 감독은 정말 상상이상을 보여준다 올해최고에 영화,,,,,,,,,,,,,,,,
10003,스토리를 이해하고나니 엄청나네,,,,,,,,,,,,,,,,
10004,에이리언과 새로운 인공지능의 합작 생각보다 괜찮았다,,,,,,,,,,,,,,,,
10005,긴장감 넘치고 재밌었다.,,,,,,,,,,,,,,,,
10006,뭔가 앞뒤 내용이 너무 점프 했어요.닥터쇼 불쌍행 ㅠㅠ,,,,,,,,,,,,,,,,
10007,액션을 기대하고 봤는데..철학적인 예기였어..,,,,,,,,,,,,,,,,
10008,정말 재밋어요 완전 집중해서 봣습니다 시리즈 또 나오면 좋겠네요!!,,,,,,,,,,,,,,,,
10009,알고 봐도 긴장감 최고임,,,,,,,,,,,,,,,,
10010,평점1준사람들은 난독환자들인듯....,,,,,,,,,,,,,,,,
10011,프로메테우스의 비밀(외게인 엔지니어가 인간들을 죽이려 한 이유)이 여기서 벗겨지는구나. 너므 잼써~!!!,,,,,,,,,,,,,,,,
10012,이제 마더가 아니라 파파시대인가?? 속편 기다리다 숨막힐것같다. 얼른 만들어요 리들리리들리,,,,,,,,,,,,,,,,
10013,졸라 답답함.총질 장애.선원 장애.선장 디짐 ㅡㅡ,,,,,,,,,,,,,,,,
10014,참...스콧감독...그 요상한 괴수에 미련 못 버리시네~~,,,,,,,,,,,,,,,,
10015,굉장히 잔인하기는 하지만 에이리언속편으로서 볼만하다,,,,,,,,,,,,,,,,
10016,평점 안쓰는데 스토리나 몰입감이 최고였어요 영화관에서 봤었으면 하는 아쉬움이 남네요. 막 무지막지하게 에일리언이 나와서 판치는 그런 개판이 아니라 좋았어요 윌터 ㅠㅠ,,,,,,,,,,,,,,,,
10017,에이리언의 뿌리를 알아가는게 점 점 지겨워진다..,,,,,,,,,,,,,,,,
10018,뭔가 무게감이 에일리언보다 데이빗에 더 쏠리는 감은 있지만...프로메테우스보다 훨~ 완성도 있게 잘 만들었다...시리즈 통털어서도 최고작인 제임스카메론의 2를 제외하면 컨버넌트가 그 다음 순위는 될듯...결국 에일리...,,,,,,,,,,,,,,,,
10019,대실망  전작에 부끄럽다,,,,,,,,,,,,,,,,
10020,평점이 높길래 1점준다. 코미디도 아니고 에일리언 시리즈의 수치다,,,,,,,,,,,,,,,,
10021,망할 데이빗..다음번 에일리언은 스토리가 어떻게 진행될지ㅋ,,,,,,,,,,,,,,,,
10022,다음편이 기대된다. 참 심오한 내용 잘 맹들었다,,,,,,,,,,,,,,,,
10023,리들리 스콧 OOO 우릴 제대로 갖고 놀 줄 안다.,,,,,,,,,,,,,,,,
10024,사실 개척정신에도 음양이 있어 운빨과 불행이 붙어다닌다. 무능한 영웅에게 저주를.,,,,,,,,,,,,,,,,
10025,ㄷㄷ심장쫄깃..재밌음,,,,,,,,,,,,,,,,
10026,재미있어요 프로메테우스2 빨리  제작 좀..,,,,,,,,,,,,,,,,
10027,안전불감증이 이렇게 무섭습니다 ㅋ,,,,,,,,,,,,,,,,
10028,솔직히 지루하진않는데 ㅅ,,,,,,,,,,,,,,,,
10029,멋지게 마무리 해줘서 고맙다고... 당신은 우주최고 감독이라고...,,,,,,,,,,,,,,,,
10030,복잡하게 풀어진 프리퀼.,,,,,,,,,,,,,,,,
10031,전 1보다  더재밋게 봤습니다.. 마지막 윌터냐 데이빗이냐  말이 많은데 제생각은  칼을쥔 데이빗이  윌터를 시스템다운 시키고 자기의 데이타베이스를 이식시켜서  몸은 윌터지만 더 진화된 데이빗으로 변한거 같습니다,,,,,,,,,,,,,,,,
10032,기대보단 매우 별로.,,,,,,,,,,,,,,,,
10033,기대를 져버리지 않는..,,,,,,,,,,,,,,,,
10034,평점을 너무 낮게주는 사람들이 많아서 10점줌. 프로메테우스를 재밌게 본 사람은 볼만할거임.  전작이 너무 쩔어서 평점 테러하나,,,,,,,,,,,,,,,,
10035,너무 기대하고 봤다. 에이리언과의 사투를 통한 생존 영화를 생각하고 보면 실망한다. 뭔가 마구잡이로 섞은걸 본거 같다. 데이빗에 관한 내용에 충실한거였다고 해도 실망이었다. 전혀 충실하지 않았고 부실함 그 자체였다 ...,,,,,,,,,,,,,,,,
10036,이거  tv뜬거같은데 다운 언제 되냐,,,,,,,,,,,,,,,,
10037,엔지니어는 인간을 창조하고 인간은 데이빗을 창조하고 데이빗은 에어리언을 창조해서 엔지니어와 인간을 멸망시키는 초 우주적인 장기 프로젝트..,,,,,,,,,,,,,,,,
10038,전작과 비교해봐도 훌륭함,,,,,,,,,,,,,,,,
10039,징그럽고 무섭게 재밌게 봤어요~~,,,,,,,,,,,,,,,,
10040,에일리언 나온것중에 젤 잼있었음... 난..,,,,,,,,,,,,,,,,
10041,굿 재미집니다 후속작 기대되네요,,,,,,,,,,,,,,,,
10042,재미있었습니다.또다른영화보러갈예정입니다,,,,,,,,,,,,,,,,
10043,와우 다음편이 빨리보고싶어요,,,,,,,,,,,,,,,,
10044,그냥 그랬다 ㄹㅇ....,,,,,,,,,,,,,,,,
10045,재밌을그러나 간지러운데 긁지못한 느낌,,,,,,,,,,,,,,,,
10046,그냥 그냥...  스케일에 비해 큰 임팩트는 없다... 에이리언 2의 감동을 느껴보고 싶다..ㅠㅠ,,,,,,,,,,,,,,,,
10047,재밌음재밌음재밌음재밌음재밌음,,,,,,,,,,,,,,,,
10048,이제야 풀리는 실마리..,,,,,,,,,,,,,,,,
10049,오프닝 느낌의 영화....ㅠㅠ아쉽...,,,,,,,,,,,,,,,,
10050,액션은 좋았으니 5점..내용은 전중후반 지루하네여,,,,,,,,,,,,,,,,
10051,청불로 하고 좀 더 수위가 높았으면..,,,,,,,,,,,,,,,,
10052,프로메테우스에 찬사를ㅎ뛰어난 영상미와 후속이야기는 좋았는데...시작부터 끝까지 발암캐릭터들의 향연과 뻔한반전결말ㅜ,,,,,,,,,,,,,,,,
10053,옛날 에어리언  향수를 느낄수 있네요,,,,,,,,,,,,,,,,
10054,수위조절이 대단.. 이게 15세? 여튼 추천,,,,,,,,,,,,,,,,
10055,명작입ㄴ다 ㅎㄷㄷ 또 봐야지,,,,,,,,,,,,,,,,
10056,최고앰 ㅠㅠㅠ 3편나오며뉴바로보러달려감,,,,,,,,,,,,,,,,
10057,조금더 상영시간이 길어져서 설명이 좀 더 많았으면 했지만 그래도 리들리 스콧의 에이리언은 최고의 시리즈이다,,,,,,,,,,,,,,,,
10058,볼거리가 많았음. 미래를 보는것 같았고,,,,,,,,,,,,,,,,
10059,남친성화에 못이겨서 봤는데 딱 특별한 재미는 없었어요 먼가 시리즈가나올거네 이런거?? 정도구요 주말할게없다면 ㅅㅣ간보내기용으로는괜찮아요,,,,,,,,,,,,,,,,
10060,이번 에이리언 영화는 중간 중간 지루한 장면이 많이 나와 졸렸어요,,,,,,,,,,,,,,,,
10061,재밌는데 다소지루한면도있어요 근데 볼만함ㅋㄱ,,,,,,,,,,,,,,,,
10062,그렇게 재밌지는 않아요. 왜 전작에서 그렇게 용감하게 떠났던 쇼 박사를 걍 죽여버렸는지도 이해안됨..,,,,,,,,,,,,,,,,
10063,아아주 훌륭해 정말로 !!,,,,,,,,,,,,,,,,
10064,진짜  꼭보세요 대박 스릴러 sf별로 안좋아하는데 개꿀잼 인생영화  밤에 잠못잘듯,,,,,,,,,,,,,,,,
10065,다음편이 기대됨 굳굳 미친 애이리언,,,,,,,,,,,,,,,,
10066,프로뫼테우스를 좋아하는 사람들이 좋아할듯..내 취향은 시고니 위버가 나왔던 그 에일리언이 맞는듯합니다....이영화를 만원이나주고 ㅠㅠ 흠..,,,,,,,,,,,,,,,,
10067,기본적으로 영화가 생각보다 더 잔인합니다. 에일리언 시리즈에 꼭 나오는 장면이지만 정말 표현이 역대급입니다. 큰 스토리없이 짜집기한 느낌이 강하고 그 스토리에 에일리언만 첨가한 느낌입니다. 잔인한걸 못보는 분들은 절...,,,,,,,,,,,,,,,,
10068,기대보단 못한 영화입니다.,,,,,,,,,,,,,,,,
10069,예측 가능한  후반부가 주는 느스함,,,,,,,,,,,,,,,,
10070,기대한만큼 실망도 주는 영화입니다,,,,,,,,,,,,,,,,
10071,명작이었던 프로메테우스 후속이라 기대했건만... 그냥저냥  뻔한 반전의 에피소드  한편 수준.. 여주 아줌마도 못생기고,,,,,,,,,,,,,,,,
10072,모르겠어 프로메테우스 솔직히 재밌게 봤는데 그리고 개봉하기전까지 예고편들보고 흥분했는데 감독판에다가 넣을려고 삭제했는지.. 프로메테우스보다는 별로였어ㅠ나는,,,,,,,,,,,,,,,,
10073,리틀리 스콧은 과거의 영광에만 집착하고 있다는게 이 작품을 통해 알 수 있었다. 새로움이 배제된 뻔하디 뻔한 에일리언이라니 이 시리즈 중 가장 최악이라고 말 할 수 있다.,,,,,,,,,,,,,,,,
10074,나름 괜찮았고 마지막 반전 굿!,,,,,,,,,,,,,,,,
10075,재미있긴 했지만 그렇다고 스토리가 좋았다고는 생각이 안 됨. 누가 적어놓은 것처럼 등장인물들의 안전불감증이 너무 심해서 답이 없었다.  귀찮아서 안하는 거면 개연성이라도 있는데 너무 심할 정도로 등장인물들의 행동이 ...,,,,,,,,,,,,,,,,
10076,시고니 위버 데려와라..여주인공의 카리스마가 너무 부족하다.,,,,,,,,,,,,,,,,
10077,초반 쌍팔연도 개그와 설정에 빵터짐....후반은 그럭저럭...,,,,,,,,,,,,,,,,
10078,난 상반기 최고작이라평한다.,,,,,,,,,,,,,,,,
10079,작가의 데이빗8 자캐딸 그 이상도 이하도 아니다.자기 스스로의 주제의식인 창조주와 창조물에 취한 나머지 에일리언은 곁다리로 놓고 개연성은 싸그리 날려버린 영화,,,,,,,,,,,,,,,,
10080,어제 심야로 보고 왔는데 그냥 죤잼,,,,,,,,,,,,,,,,
10081,에이리언시리즈와 프로메테우스 내용을 아는 사람이라면 무조건 10점을 줄 수 밖에없다. 빨리 3탄이 나오길,,,,,,,,,,,,,,,,
10082,평점이 높은 이율 모르겠음ㅜㅜ,,,,,,,,,,,,,,,,
10083,시작 인트로만 보고서도 너무 기대되었던,,,,,,,,,,,,,,,,
10084,최고의 영화 프로메테우스와 완벽하게 이어지는후속편의 저주는없었다 마이클연기가 일품 ㅋ,,,,,,,,,,,,,,,,
