,content,,,,,,,,,,,,,,,
6006,추후에 가치를 인정받을 영화.. 서두르지 않는 명작.,,,,,,,,,,,,,,,
6007,에일리언의 프리퀄이 아닙니다.. 인간을 다시한번 생각하게 만드네요. 대단합니다ㅜ,,,,,,,,,,,,,,,
6008,에어리언 탄생의 기원,,,,,,,,,,,,,,,
6009,평점 10점!!!! 1,,,,,,,,,,,,,,,
6010,지금 평점 1~2점 주는놈들 거의다 알바 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 대박이네 ㅋㅋㅋㅋㅋ,,,,,,,,,,,,,,,
6011,재미없다고 1점주는 인간들은 뭐냐.... 재미없게 봤다 쳐도 이성적으로 생각하고 줘라,,,,,,,,,,,,,,,
6012,영상이 정말 완벽했는데 스토리의 마무리가 아쉬워요ㅠ 데이빗의 캐릭터는 완벽!!!,,,,,,,,,,,,,,,
6013,쇼라는박사 지 죽일려고했던 로봇이랑 같이  탈출해 -0-;;근데 지구로 안가ㅋㅋㅋㅋ,,,,,,,,,,,,,,,
6014,기대하고 보면 큰 코 다친다  cg 들먹이며 10점 주는 애들은 다 알바,,,,,,,,,,,,,,,
6015,대박입니다.. 영화의 비주얼만 놓고 보더라도 돈은 안아까울거에요,,,,,,,,,,,,,,,
6016,반전과 음모의 스토리 인류외계도래설의 호기심 h.r기거의 디자인에 에일리언 제로라는 보너스,,,,,,,,,,,,,,,
6017,영화이름을 잘 못 지었어... 에얼리언 제로..가 맞음,,,,,,,,,,,,,,,
6018,아... 별로임진짜... 재미도없고 감동도없고.. 에일리언은 왠 개드립,,,,,,,,,,,,,,,
6019,ㅡㅡ,,,,,,,,,,,,,,,
6020,기대가 크면 실망이 크다는 진리가.. 은교봤을때의 기분이 다시 드는건 왜일까? 어설프다,,,,,,,,,,,,,,,
6021,인간을 창조한 '인격 신'에 대한 부정과,,,,,,,,,,,,,,,
6022,미인박명Noomi Rapace보다 샤를리즈 테론이 먼저 죽은건 그이유밖에없다.,,,,,,,,,,,,,,,
6023,별 반개도 아깝습니다.,,,,,,,,,,,,,,,
6024,새벽에 문득 보러간 영화. 와 대박.. 새벽3시까지 완전 몰입해서 봄,,,,,,,,,,,,,,,
6025,에이리언을모르시는분은이영화보지마세요!최고의sf영화가나왔네요스콧감독최고!,,,,,,,,,,,,,,,
6026,그냥 기대감없이 아무생각없이 보면 와~~할 정도의 영화는 된다 ㅎㅎ,,,,,,,,,,,,,,,
6027,돈아깝다 스토리 없고 외게인 영상 문명도 그닥 맘에 와닿지 않고 무슨 심형래의 디워보다 좀 난 정도,,,,,,,,,,,,,,,
6028,감독은 동명이인? 꼼장어와쭈꾸미괴물은자웅동체 수술마무리는스템플러로.OO의쇠이들~,,,,,,,,,,,,,,,
6029,한마디로 대박 넘 재밋음,,,,,,,,,,,,,,,
6030,스토리가...아쉬워ㅠ_ㅠ;,,,,,,,,,,,,,,,
6031,끝내주는 분위기.. 무얼 얘기할지... 무엇이나올지 예상했다면 대만족했을듯..,,,,,,,,,,,,,,,
6032,내가 기대를너무많이하고본건가... 정말실망했고 돈아까웠다,,,,,,,,,,,,,,,
6033,감독이 누군지 알고 감독 역량 부족이라는 거임?  이 영화의 진정한 가치는 뛰어난 영상미 완벽한 3D,,,,,,,,,,,,,,,
6034,지질학자가 맵핑까지 하는데 지질학자가 길을 잃어 버렸다!,,,,,,,,,,,,,,,
6035,약간 지루하지만 전체적으로 괜찮음 에얼리언의 기원~,,,,,,,,,,,,,,,
6036,재밌게 보았다.,,,,,,,,,,,,,,,
6037,감독 역량부족. 말안됨. 행성에서 무기 미소지하고 손으로 에이리언 터치,,,,,,,,,,,,,,,
6038,로봇 OOO가 물컵에 검은 액체만 타지 않았더라도,,,,,,,,,,,,,,,
6039,정말로 오랜만에 내가 좋아하는 SF 다운 SF 가 나온듯한...,,,,,,,,,,,,,,,
6040,식욕감퇴,,,,,,,,,,,,,,,
6041,완전 재밌었는데 평점 왜이럼;,,,,,,,,,,,,,,,
6042,기대만큼  별루  영화보는 내내 지루  역시 마켓팅의 힘이 대단한 영화,,,,,,,,,,,,,,,
6043,에어리언 비긴즈,,,,,,,,,,,,,,,
6044,영화볼줄도모르고 평점주는거바라.. 영화가 불쌍하다 평점주는새끼들..수준들하고는..,,,,,,,,,,,,,,,
6045,훗날 걸작의 반열의 오르리라...,,,,,,,,,,,,,,,
6046,감독의 전작들에 비해 좀 아쉽다. 3D로 보기에는 아쉽고,,,,,,,,,,,,,,,
6047,내돈주고봤으면오늘잠못잤다ㅡㅡ외계인으로시작해서외계인으로끝나는영화였긔,,,,,,,,,,,,,,,
6048,영화보고 처음 글써보네요 대박이에요  술한잔 더먹게 생겼네요,,,,,,,,,,,,,,,
6049,이걸영화라고...돈아까비 연기로승부하는 액션 ㅜㅜ,,,,,,,,,,,,,,,
6050,괴물공상과학sf영화가 왜 1시간이나지나서괴물등자하는데??? 스토리도 너무 없다.,,,,,,,,,,,,,,,
6051,별점같은거 어이없어서 처음써본다ㅡㅡ 존나돈아깝다 감독의의도가뭘까?,,,,,,,,,,,,,,,
6052,에어리언 다큐멘터리네 미친영화ㅡㅡ,,,,,,,,,,,,,,,
6053,이만큼 3D잘구현한 영화도 드문듯. 데이빗의 중요성이란~~~,,,,,,,,,,,,,,,
6054,너무 기대하고 봐서 그런지 실망스럽네요.,,,,,,,,,,,,,,,
6055,음....... 그저 내 남친의 2만6천원이 아까울뿐이다. 이돈이면 담배가 한보루,,,,,,,,,,,,,,,
6056,솔직히 개인적으로 진짜 재밌었다. 상황적 공포와 팀 내부의 불신의 공포가 적절조화,,,,,,,,,,,,,,,
6057,요즘 sf는 눈의 즐거움만있었지 심오함이 없었는데 이것은 생각을 하게하는 진정한sf이다.,,,,,,,,,,,,,,,
6058,보는 내내 긴장하면서 봤습니다. 평점1점은 뭔지 이해가 안가내요. 3D로 볼것을 추천!!,,,,,,,,,,,,,,,
6059,에이리언 떡밥 이런 소리하는 사람은 에어리언만 다시보세요.,,,,,,,,,,,,,,,
6060,생각을 하게하는 영화,,,,,,,,,,,,,,,
6061,액션,,,,,,,,,,,,,,,
6062,리들리스콧은말이필요없다천재다. 발끝먼지도못따라가는건축학의평점이더높다니신기ㅋ,,,,,,,,,,,,,,,
6063,기대를 너무한게 문제. 인류기원 우주신비 머 이런건 절대 네버 에버 없음. 걍 좀 세련된 에일리언.,,,,,,,,,,,,,,,
6064,개독들은 이영화 보면 경기 일으킨다 ㅋㅋㅋㅋㅋ,,,,,,,,,,,,,,,
6065,목적도 불분명하고 각 캐릭터도 자기 색깔 못내고 외계생물체 정체도 모르고ㅋㅋㅋ,,,,,,,,,,,,,,,
6066,내 2시간10분 돌려줘라,,,,,,,,,,,,,,,
6067,오늘보고왔는데 평점이 너무 낮네요 물론 평가가 갈릴거라생각합니다,,,,,,,,,,,,,,,
6068,딱히 sf도 아니고 스릴러나 공포는 더군다나 아님. 그냥 허술한  b급 드라마물...,,,,,,,,,,,,,,,
6069,의문점이 너무 많아서 머리가 아프지만 그래도 최고,,,,,,,,,,,,,,,
6070,에일리언 시리즈인 척 하지만... 도저히 끼워줄수 없는 떡밥 영화.,,,,,,,,,,,,,,,
6071,이런 영화가 7점대라는게 말이 되나..스노우 화이트보다 평점이 낮다는데에 격분한다,,,,,,,,,,,,,,,
6072,리들리 스콧? 약하다. 진부함과 유대감 형성의 결여가 가뜩이나 부족한 액션을 커버하긴 무리,,,,,,,,,,,,,,,
6073,이런 대작을 1점 주는 사람은 99%가 기독교 혹은 흥행부진해야 득을 보는 사람들-동감,,,,,,,,,,,,,,,
6074,이런 대작을 1점 주는 사람은 99%가 기독교 혹은 흥행부진해야 득을 보는 사람들,,,,,,,,,,,,,,,
6075,잔상이 많이 남는 영화,,,,,,,,,,,,,,,
6076,이정도의 영화라면 감사하는 마음으로 봐야 하는거 아닌가..?,,,,,,,,,,,,,,,
6077,결국 인류의 탄생보다는 에일리언의 탄생??? 머 앞뒤도  없는거 같고 별 내용도 없네,,,,,,,,,,,,,,,
6078,집중하다보니 벌써끝났어? 볼거리가 아쉽다,,,,,,,,,,,,,,,
6079,괜찮다 이정도면,,,,,,,,,,,,,,,
6080,3부작이라서 9점준다. 확실히 영상미는 뛰어남,,,,,,,,,,,,,,,
6081,별주기도 아까운 영화,,,,,,,,,,,,,,,
6082,정신있는영화,,,,,,,,,,,,,,,
6083,말은 많아도 재밌는 영화... 아쉬운 부분은 있었다...,,,,,,,,,,,,,,,
6084,아 무슨 내용연결도 엉성하고 억지구성에... 마지막반전은 짜증이 확 ㅡㅡ,,,,,,,,,,,,,,,
6085,인간을 창조한 게 외계인이라면 그들을 창조 한 건 누구인가?,,,,,,,,,,,,,,,
6086,근래 나온 SF영화 중 단연 탑이라고 생각합니다,,,,,,,,,,,,,,,
6087,아이맥스로 보니까 역시 다르다.. 아이맥스용 영화인듯..,,,,,,,,,,,,,,,
6088,우왕! ㅜ,,,,,,,,,,,,,,,
6089,에이리언 시리즈를 보셔야 됩니다... 최소한 1편이라도!,,,,,,,,,,,,,,,
6090,다른말이 필요없습니다. “What the fuck...!!!”           -프로메테우스 대사 중-,,,,,,,,,,,,,,,
6091,스스로 던진 거대한 질문에 스스로 압도당해버린 영화,,,,,,,,,,,,,,,
6092,기대했지만 남는 의문은 창조자가 선택한 파괴보다 우주선드라이버 3인방의 이타주의,,,,,,,,,,,,,,,
6093,끝에 무쟈게 허무합니다. 뭔가 있을거란 기대를 갖고 끝까지 봤지만;;,,,,,,,,,,,,,,,
6094,왜 인류를 공격하려는지 이유도 안나오고 저한테는 과격했던 영화지만 비주얼은 최고,,,,,,,,,,,,,,,
6095,역시 기독교도들 1점ㅎㅎ 반대가 심하네..ㅋㅋ 문어나올때 좀깹니다ㅋ 암튼강추!,,,,,,,,,,,,,,,
6096,에일리언1 안보시거나 내용 모르시는분은 재미없는 영화..,,,,,,,,,,,,,,,
6097,에일리언1을 먼저보고 나서 이 영화를 보시길...그럼 재밌어요.ㅋ,,,,,,,,,,,,,,,
6098,도대체 영화관에서 상영을 왜하는건지 이 영화때문에 기분버리고 돈버리고 시간버림...,,,,,,,,,,,,,,,
6099,솔직히 조금 실망...,,,,,,,,,,,,,,,
6100,3D로 보면 더 실감나는 영화. 카메론 감독처럼 리들리 스콧도 시대를 앞섰다.,,,,,,,,,,,,,,,
6101,촉수가 징그러...,,,,,,,,,,,,,,,
6102,기분만더럽게만든영화ㅡ기승전결이없음...... 스케일과 그래픽만 있는 영화. 돈아까비....,,,,,,,,,,,,,,,
6103,sf 스릴러의 법칙을 깨진 못한거같지만 깔끔!!,,,,,,,,,,,,,,,
6104,역대 내가본 영화중 스토리 OOO*,,,,,,,,,,,,,,,
6105,정말 대단한 영화네요,,,,,,,,,,,,,,,
6106,전 완전 재밌었어요..!!!,,,,,,,,,,,,,,,
6107,오늘 봤는데 난 재밌었음...역시 리들리 스콧..,,,,,,,,,,,,,,,
6108,재밌네 2도 봐야겠다.,,,,,,,,,,,,,,,
6109,철하적 고찰로 시작햇으나 에일리언으로 끝난영화,,,,,,,,,,,,,,,
6110,1점은 좀 너무하잖아...좀 공정하게 평가해라,,,,,,,,,,,,,,,
6111,3D로 보구왔어요. 스토리는 부실한데 보는 재미가 있어요. 볼만했어요.,,,,,,,,,,,,,,,
6112,내 sf매니아다. 영상미와 그 압도적 스케일 그리고 기괴한 코스믹호러까지. 최고다.,,,,,,,,,,,,,,,
6113,CG보려고 돈을 쓴게 아깝다.,,,,,,,,,,,,,,,
6114,기분만 찝찝하고 너무 재미없음.............,,,,,,,,,,,,,,,
6115,Dirty.,,,,,,,,,,,,,,,
6116,굳,,,,,,,,,,,,,,,
6117,10점만점은 못되도 1점은 말도안되잔아 알바들아 구라좀작작,,,,,,,,,,,,,,,
6118,에일리언을 다시 복습할겸 먼저 본후에  이영화를 보시길....그럼 재밌을듯..,,,,,,,,,,,,,,,
6119,생각보다 흥미로움~~,,,,,,,,,,,,,,,
6120,정말 비쥬얼/음악만 나았음.영화 내용 쓰레기.이야기가 없는것보다는 재미자체가없음,,,,,,,,,,,,,,,
6121,이런 쓰래기 외계인재난영화같으니라구,,,,,,,,,,,,,,,
6122,비주얼적 요소는 최곤데 스토리는 에일리언1보다 못하네 ㅠㅠ,,,,,,,,,,,,,,,
6123,스토리가 없습니다.  영화관에서 보지 마세요. 욕 나옵니다. 영상만 괜찮네요. 여기 알바 많네요.,,,,,,,,,,,,,,,
6124,최고,,,,,,,,,,,,,,,
6125,알바들 많네,,,,,,,,,,,,,,,
6126,아일점이아까운영화는태어나서처음이다 에일리언짭영화 아욕나오네OO,,,,,,,,,,,,,,,
6127,스페이스조키에 대해 조금이라도 안것 만으로도 대만족이다 프로메테우스2를 기대하며,,,,,,,,,,,,,,,
6128,최악의영화. 영화관에선 보지마세요 다운받아서 보시요,,,,,,,,,,,,,,,
6129,너무 재미있다......평범한 SF물과는 다름....역시  리들리 스콧....,,,,,,,,,,,,,,,
6130,생명과 인류의 기원과 우리가 믿는 신은 사랑일까,,,,,,,,,,,,,,,
6131,알바아니다. 정말 대단한 영상과 스토리다. 가이거 에게 한표를,,,,,,,,,,,,,,,
6132,화려한 액션이 많지않아 3D로는 아까웠을듯,,,,,,,,,,,,,,,
6133,어제 심야 본 후 에이리언1편 복습했는데 감탄 연발.. 괜히 리들리 스콧이 아니다.,,,,,,,,,,,,,,,
6134,여자가 10분후에 방으로 오라고 했는데 안간겨?,,,,,,,,,,,,,,,
6135,결말을 알 수 없어 계속 보게됨. 나름대로 비쥬얼이 좋음.마지막이 아쉬워 2점뺀다.,,,,,,,,,,,,,,,
6136,영화 전반부와 엔딩에 흐르는 쇼팽의 빗방울전주곡. 이 곡에 담긴 의미를 알아보고 영화 보시길^^,,,,,,,,,,,,,,,
6137,18000원주고 4D로 본영화 18000원전액이아까웟던영화,,,,,,,,,,,,,,,
6138,인류의 기원 아니고 에일리언의 기원인데,,,,,,,,,,,,,,,
6139,팬이라면 한 번은 봐야하는 영화. 근데 두 번 보긴 좀... 큰 기대는 말자!,,,,,,,,,,,,,,,
6140,에이리언 영화 팬인 나로서는 재밌게 본 영화,,,,,,,,,,,,,,,
6141,스콧형님이 이정도면 선전했네 비쥬얼굿! 에이리언같길 바라는거부터가 욕심아닌가?,,,,,,,,,,,,,,,
6142,긴장감 장난 아님! 끔찍한 장면은 얼마 안나오는데 긴장감때문에 손이 축축함,,,,,,,,,,,,,,,
6143,1편 에이리언이 왜 괴물얼굴에 손발이 사람같았는지 79년도 기술력을 커버해준 엔딩신,,,,,,,,,,,,,,,
6144,소문난잔치에 먹을거 없다더니... 영 못볼 정도는 아님.,,,,,,,,,,,,,,,
6145,진짜 초 집중해서본영화...재밌음..,,,,,,,,,,,,,,,
6146,4D로봤는데...물폭탄만맞고왔다...영화가뭘말하려는지...재미없어,,,,,,,,,,,,,,,
6147,별로네요...에이리언 이젠 지굿지긋해요 왜 계속 그딴 괴물로 영화를우려먹는건지...,,,,,,,,,,,,,,,
6148,재밌었음. 꼭 봐야할영화,,,,,,,,,,,,,,,
6149,영화 자체는 에이리언에 대한 모독 수준,,,,,,,,,,,,,,,
6150,ㅋㅋ영상이죽임,,,,,,,,,,,,,,,
6151,내 인생의 쓰레기 영화,,,,,,,,,,,,,,,
6152,좀 아쉬운감은 있어도 긴장감과 몰입도만으로 10점+_+;,,,,,,,,,,,,,,,
6153,초반부터 긴장감과 스릴감있는 시나리오.. 에이리언 출생비밀까지.. 평점 넘낮음!!!,,,,,,,,,,,,,,,
6154,최소한의 개연성도 찾아볼수 없는 스토리;;  시나리오작가는 생각이 없었나;;,,,,,,,,,,,,,,,
6155,정말..재미없다 ...이거모지? 란기분듬..,,,,,,,,,,,,,,,
6156,기대를 많이했었는데 실망은 정말 많이 했음. 스펙타클 SF라고 재밌지만은 않다는 최고의 교훈!!,,,,,,,,,,,,,,,
6157,영상은 좋은데... 솔직히 기대감 내려놓고 봐야할듯. 기대감 가지고 봤다가 한숨이.,,,,,,,,,,,,,,,
6158,알바가 많구만 이런 영화가 7점이라니 직접 보고 점수 주라고!,,,,,,,,,,,,,,,
6159,영상이아깝다 영상은별다섯개 전반적스토리마이너스,,,,,,,,,,,,,,,
6160,아 OO 마지막에 왠 에일리언 뜬금포!!!!!!!!!!!!!! 좆망했음,,,,,,,,,,,,,,,
6161,전체적인 내용앞뒤도 않맞고 2편나올거같던데2편을 꼭봐야 되도록 되있네,,,,,,,,,,,,,,,
6162,오늘 조조로 보고 왔슴. 에일리언 세계관을 이해하고 있기에 높은 평점을 줄 수 있다.,,,,,,,,,,,,,,,
6163,알바 존나많네,,,,,,,,,,,,,,,
6164,프리퀄 아니라더니 결국 에일리언이랑 연결되는 듯. 솔직히 기대가 너무 컸다.,,,,,,,,,,,,,,,
6165,비주얼 최고~!! 최고당! 평점내리는 알바~싫다,,,,,,,,,,,,,,,
6166,영상이 정망 최고,,,,,,,,,,,,,,,
6167,에일리언의 프리퀄을 제대로 보여주긴했으나 뭔가 밋밋하다. 절대 팝콘사가지마라 ㅋㅋ,,,,,,,,,,,,,,,
6168,초반에 나온 자연 풍경에 5점 드립니다 거기까지가 딱 좋았지.,,,,,,,,,,,,,,,
6169,헐리웃새퀴들 이제 영화로 사기치네.,,,,,,,,,,,,,,,
6170,인류의 기원이 안밝혀짐 안밝혀지는게 너무 많음,,,,,,,,,,,,,,,
6171,4d로안봤으면밑에분들처럼평점낮게줬을것같네요 부족한스토리를 뛰어난영상과4d,,,,,,,,,,,,,,,
6172,인간이나 외계인이나 주먹이 먼저나옴,,,,,,,,,,,,,,,
6173,난 볼만했음,,,,,,,,,,,,,,,
6174,올해 최고의 기대작이라하더니 돈이아까워 욕지거리가 나올지경.,,,,,,,,,,,,,,,
6175,에일리언의 추억을 향한 처절한 자(기)위(안),,,,,,,,,,,,,,,
6176,최악의영화...,,,,,,,,,,,,,,,
6177,간만에..욕나오게 하네.. 휴...,,,,,,,,,,,,,,,
6178,재미도 감동도 없었던영화.도대체 인류기원의 충격적비밀은 어떤장면에서 밝혀진거지?,,,,,,,,,,,,,,,
6179,흥미로운 sf. 에일리언을 알고보면 확실히 재밌다,,,,,,,,,,,,,,,
6180,그래픽,,,,,,,,,,,,,,,
6181,프로메테우스의 세계관을 이해하냐 못하냐에 따라 평가는 극과 극이 될듯,,,,,,,,,,,,,,,
6182,징그럽고기억에남지않을것같은영화,,,,,,,,,,,,,,,
6183,감독한테 이 영화 왜 만들었냐고 묻고싶다,,,,,,,,,,,,,,,
6184,리들리스콧이 프리퀄에 대해 애매하게 말했지만 어쨋든 위대한 에어리언의 프리퀄,,,,,,,,,,,,,,,
6185,끝까지 흥미진진 하지만 풀리지 않는 몇가지 의문점 인터넷으로 공부해야 겠어요,,,,,,,,,,,,,,,
6186,약간의 신학적 소양이 있다면 좀더 재미있게 볼 수 있는 영화. 재미있게 보았습니다,,,,,,,,,,,,,,,
6187,아바타 이후 최고의 영상미 그리고 탄탄한 콘티!!,,,,,,,,,,,,,,,
6188,너무 구식임  에어리언1수준임,,,,,,,,,,,,,,,
6189,엘리자베스 쇼 박사님만 살아남고 전부 몰살당했다.,,,,,,,,,,,,,,,
6190,재미를 넘어 흥미로운 영화,,,,,,,,,,,,,,,
6191,뒷부분에 중간중간 짤리는 듯한 느낌이 들긴 했지만,,,,,,,,,,,,,,,
6192,인조인간역활을 한 Fassbender의 연기력 말고는 story 수준이하,,,,,,,,,,,,,,,
6193,여러가지 생각을 많이 하게된..마지막 에이리언 프리퀄 일 수 있겠다는 반전도 있고..,,,,,,,,,,,,,,,
6194,최신판 에일리언.,,,,,,,,,,,,,,,
6195,대중이 기대하는 재미를 느끼려고 할 뿐인데...해당 요소는 전혀 없음...,,,,,,,,,,,,,,,
6196,뭔가 편집된 장면이 많은 기분..,,,,,,,,,,,,,,,
6197,광고에 절대 속으면 안될 영화. 차라리 TV용 SF스릴러에 열광 할 지어다.,,,,,,,,,,,,,,,
6198,스토리가 앞뒤가 하나도 안 맞음... 졸려요,,,,,,,,,,,,,,,
6199,에일리언 프리퀄이라는 것만으로 봤다. 재밌게 보긴 했지만 추천할 정도는 아님.,,,,,,,,,,,,,,,
6200,끔찍한... 스토리... 결말.. 완성도는 높지만... 절대 추천하기 싫은.,,,,,,,,,,,,,,,
6201,너무무서움. 그무서움때문에 인간한테전하는 메시지가 배가되는거같았음,,,,,,,,,,,,,,,
6202,에일리언 시리즈에 열광한 SF 매니아라면 전혀 불만없음,,,,,,,,,,,,,,,
6203,꼭 무슨 반전같은게 있어야스토리 좋은 것은 아니잖아요?영상은 정말 대단하네요,,,,,,,,,,,,,,,
6204,울 알사모님 회원님들 7점대까지 올리느라 수고하셨습니다. ^-^ 수익금은 ~,,,,,,,,,,,,,,,
6205,생각할거리가 많아서 좋네요. 8점 주려다가 1점 주는 알바들 때문에 10점-_-,,,,,,,,,,,,,,,
6206,스토리어쩔?영화관에서볼영화는아닌듯 공짜로봐도짜증남아까움..sf이긴함,,,,,,,,,,,,,,,
6207,기대이하 스케일만거대함,,,,,,,,,,,,,,,
6208,에일리언 프리퀄,,,,,,,,,,,,,,,
6209,진짜 실몽이네;;;,,,,,,,,,,,,,,,
6210,너무 큰 기대를 한다면 뭔가 실망할듯 하다~~난 갠적으론 맨인블랙이 더 나았음~~,,,,,,,,,,,,,,,
6211,기대가 너무 컸을까? 리들리 스콧이 아니었다면 9.5..,,,,,,,,,,,,,,,
6212,진짜 최고!!!! 박진감 넘치고 스토리도 좋고 기발하고 좋아요><,,,,,,,,,,,,,,,
6213,무지 기대했는데 난해한 스토리와 구시대적 연출,,,,,,,,,,,,,,,
6214,영상미 굳. 징그러운거 싫어해서 집가는 발걸음 찝찝. 걍 다음편을 위해 밑작업해둔,,,,,,,,,,,,,,,
6215,놀라울 정도로 잘 만든 영화였다. 실제로 보는 것 같은 리얼 3D는 최고!!! 고로 9점!,,,,,,,,,,,,,,,
6216,너무 방만하게 이것저것 건드렸다. 차라리 호러 하나에 집중했으면 이보다는 나았을듯,,,,,,,,,,,,,,,
6217,맨인블랙보단 나은데 그이상 뭔가가 부족하네 허전하고 재미는 그냥,,,,,,,,,,,,,,,
6218,아쉬운 부분이 많고,,,,,,,,,,,,,,,
6219,긴장감 그리고 몰입감 괜찬았는데? 조금 이해안가는내용있지만..^^,,,,,,,,,,,,,,,
6220,일단 초반 bgm과 영상미에 압도당했다,,,,,,,,,,,,,,,
6221,맨인블랙보단 재미있다 !!!! 최고다 정말 !!!,,,,,,,,,,,,,,,
6222,이건 10년에한번 나올까말까한 영화다 !,,,,,,,,,,,,,,,
6223,실제 외계행성을 탐험하는 듯한 느낌도 있었고 놀라운 영화였다.흥미만 찾는다면비추,,,,,,,,,,,,,,,
6224,별 반개도 아까운 쓰레기 영화. CG만 빼면 심형래급 시나리오.,,,,,,,,,,,,,,,
6225,에일리언 비긴즈!! O_o)b,,,,,,,,,,,,,,,
6226,전반부는 좀지루하고 말도안되지만 뒤에가서 긴장감느껴지고 그래 나앗음,,,,,,,,,,,,,,,
6227,시나리오를 어디서 그렇게 재미없게 만드셨는지.,,,,,,,,,,,,,,,
6228,ㅅㅂ sf 같은 소리 하지말고 에일리언 비긴즈라 해라,,,,,,,,,,,,,,,
6229,괜찮았다 두시간이 아깝지 않았다,,,,,,,,,,,,,,,
6230,박사,,,,,,,,,,,,,,,
6231,근데 이건 에일리언 프리퀄 보단 스핀오프 형식으로 진행될것 같음... 암튼 볼만했음,,,,,,,,,,,,,,,
6232,재밌던데ㅋㅋ창조론자들은 보지마세요. 그냥 믿고 싶은거만 믿고 평화롭게 살면됨ㅋㅋ,,,,,,,,,,,,,,,
6233,아쉽습니다.,,,,,,,,,,,,,,,
6234,역시 최고,,,,,,,,,,,,,,,
6235,천주교 개독교 모두 보면 안될 외계인 영화. 인간은 외계인이 부모랑께.,,,,,,,,,,,,,,,
6236,걍 쓰레기임,,,,,,,,,,,,,,,
6237,인류의 조상을 만나다. 하지만 인류탄생의 해답은 어디에....,,,,,,,,,,,,,,,
6238,디엔에이가 같다고 그들이 우리 조물주라는 결론??은아닌듯 !!아이맥스 스페이스 씬 볼만했음,,,,,,,,,,,,,,,
6239,나름 재밋음,,,,,,,,,,,,,,,
6240,그냥 에이리언&프레데터 같고 걍 뭔 내용임 하는 쓰레기 징그러움,,,,,,,,,,,,,,,
6241,어우 이거 재밌긴재밌당 ㅋㅋ근데 외계인얼굴이 ㅋㅋ귀요미임 ㅋ,,,,,,,,,,,,,,,
6242,이건 아무것도 아니야,,,,,,,,,,,,,,,
6243,이게 왜 1점짜리 영화냐ㅡㅡ 알바새퀴들 짜증나서 8점줄라다 10점준다,,,,,,,,,,,,,,,
6244,그럭저럭 잘 만들어진 영화. 에일리언 팬이라면 꼭 봐야하는 영화.  에일리언 프리퀄이 맞다.,,,,,,,,,,,,,,,
6245,한줄요약 : 인류기원의 충격적인 결말은~다음편을 참조하세요!!,,,,,,,,,,,,,,,
6246,재미는 잇는데 에이리언시리즈와 안맞는부분이잇다,,,,,,,,,,,,,,,
6247,리들리 스콧의 명성에는 못미치는 느낌,,,,,,,,,,,,,,,
6248,여태껏 수많은 영화를 봐왔지만 가장충격적이었고 여운이많이남는여화..,,,,,,,,,,,,,,,
6249,그럴듯 하다..,,,,,,,,,,,,,,,
6250,충실하다! 전율이 흐른다! 멋지다! 경이롭다! 황홀하다!,,,,,,,,,,,,,,,
6251,징그러움;;,,,,,,,,,,,,,,,
6252,HR기거의 작품들을 스크린으로 다시보는것만으로도 행복했다.,,,,,,,,,,,,,,,
6253,이건뭐지..?,,,,,,,,,,,,,,,
6254,음소거로 화면만보면 10점 ㅋㅋ,,,,,,,,,,,,,,,
6255,기대가 컸던 탓인지.. 특수효과 말고는 볼거리도 내용도 스릴도 없는 영화였음,,,,,,,,,,,,,,,
6256,에일리언1 에 비해 블럭버스터 쪽에 가깝더군요.  처음부터 끝까지 마음졸이며 봤어요,,,,,,,,,,,,,,,
6257,영화는 기대이하였지만 샤를리즈 테론때문에 10점 ㅋㅋ,,,,,,,,,,,,,,,
6258,스릴러를 기대했건만 스케일큰 다큐라니ㅡㅡ,,,,,,,,,,,,,,,
6259,스토리를 따지지 않고 볼거리로만 치면 10점 줄거임. 에일리언1편 다시봤음.,,,,,,,,,,,,,,,
6260,재밌었다 굿이다~!!,,,,,,,,,,,,,,,
6261,꽤 흥미진진한 SF 물 에어리언 매니아라면 꼭 봐야할 탄생비화 스토리,,,,,,,,,,,,,,,
6262,4DX or IMAX3D ! 안되면 3D로 꼭 보시길.. 에이리언1편 다시찾게됨.,,,,,,,,,,,,,,,
6263,종교적인 문제때문에 그런지 평점을 상당히 안좋게 준사람들이 많네요. 하지만 굿~!,,,,,,,,,,,,,,,
6264,계속 자다가 제왕절개할때 일나서 그때부터봄 ㅋㅋ 별루별루~,,,,,,,,,,,,,,,
6265,에일리언 비긴즈네요 ㅋ 조물주 DNA랑 에일리언 DNA랑 같군,,,,,,,,,,,,,,,
6266,이 영화는 꿈도 희망도 없는 그져.......팔부서지고 염산이 얼굴에 튀고....,,,,,,,,,,,,,,,
6267,에어리언 프리퀄이네,,,,,,,,,,,,,,,
6268,기억나느건 징그러운 외계생명체들이랑,,,,,,,,,,,,,,,
6269,에어리언영화라기보다는 인간에 대한 철학적인 영화인듯.,,,,,,,,,,,,,,,
6270,임신했을때 베르세르크 캐스커생각났음ㅋ볼만함ㅋ,,,,,,,,,,,,,,,
6271,가기전에 에일리언 1편 보고 가세요!!!!!!,,,,,,,,,,,,,,,
6272,에얼리언 비기닝...,,,,,,,,,,,,,,,
6273,조조 보세요. 안전 불감증 고고학자 개X끼. . . 제왕절개 수술 때문에 19금이냐~,,,,,,,,,,,,,,,
