,content,,,,,,,,,,,
4489,우주 좋아하면 꼭 보세요 브래드피트,,,,,,,,,,,
4490,범작. 조금 더 가다듬을 필요가 있었다.,,,,,,,,,,,
4491,뭔가 현실적인 느낌을 추구한다면 몰입이 안될 수도 있는데 영화가 주는 메세지에 의미를 두고 본다면 뜻 깊은 영화라고 말하고 싶네요 마음을 비우고 아름다운 영상미에 눈을 맡기고 영화의 의미에 대해 생각을 맡기세요,,,,,,,,,,,
4492,보고 눈물을 흘렸습니다.,,,,,,,,,,,
4493,이래서 브래드피트 브래드피트 하는구나,,,,,,,,,,,
4494,독특한 상상력과 철학적인 접근,,,,,,,,,,,
4495,브래드 피트 연기 좋습니다. 전개가 조금 지루하지만 의미가 있고 공감이 가서 시간이 아깝지 않았습니다. 여유있을 때 보시는거 추천합니다.,,,,,,,,,,,
4496,다섯 번의 수능,,,,,,,,,,,
4497,우주에서 고요함으로 잠들게 해 버리다. // 평타이상 믿고 보는 PLAN B // 여담으로 자신이 10점인 영화 공감 못하면 낮게 보는 평론가인 줄 아는 사람 꼴보기 싫다.,,,,,,,,,,,
4498,"살인마 부자의 우주여행 스토리""없는것을 찾느라 있는것을 보지못했다""""재미를 찾느라 잠이드는것을 인지못했다""인터스텔라+마션+그래비티 고요함",,,,,,,,,,,
4499,음 솔직히 처음에 비주얼몰입도는 좋았지만 졸렸음,,,,,,,,,,,
4500,생각보다는 재밌다 지루하지않다 나레이션이 좀 많긴하지만 우주영화 좋아하는 사람들은 무난하게 볼수있다,,,,,,,,,,,
4501,평점이 난잡한 이유는 sf나 스릴러적 요소를 기대했던 사람들의 실망감에서 비롯된듯 . 밀도있는 영상미와 연출력이 압도적입니다 . 영화를 보는 내내 산소가 부족한듯 느껴졌습니다 .,,,,,,,,,,,
4502,우주는 거들뿐... 인간에 대해서,,,,,,,,,,,
4503,사람이 긍정의 힘을 갖고 살아갈 수 있는 이유를 말하고자 한 심리 영화라고 생각됩니다. SF 영화가 아니네요.. 심리 표현을 하기위해 단지 우주를 배경으로 했을 뿐입니다. 2시간 동안 진지한 심리 묘사를 하던 브래드...,,,,,,,,,,,
4504,호불호가 있을들브래드 연기력이 살린영화인터스텔라에 비비기엔 역부족,,,,,,,,,,,
4505,내안의 무한한 우주에서 닿을 수 없을 것 같지만 결국 찾아가야하는 그 별. 그 한줄기 빛을 향하여,,,,,,,,,,,
4506,남자는 무엇을 위해 살아야 하는 가를 생각하게 해주는 영화,,,,,,,,,,,
4507,우주와 인간,,,,,,,,,,,
4508,기대만큼은 아니였지만,,,,,,,,,,,
4509,이 영화의 백미는 브래드 피트의 독백이다.,,,,,,,,,,,
4510,SF/스릴러 요소가 있긴 하지만 전체적으론 드라마 느낌이 강하다 난 재밌게 봤고 특히 영상미가 마음에 들었지만 호불호가 많이 갈릴듯한 영화,,,,,,,,,,,
4511,여운이 계속 감도는 영화 최고였다,,,,,,,,,,,
4512,내옆을 다시한번 둘러 보게 만드는 영화네요,,,,,,,,,,,
4513,정말 재밌게 봤네요 강추작~,,,,,,,,,,,
4514,1점은 조작이다 같은 영화본거 맞니,,,,,,,,,,,
4515,총이 우주에서 발사가 된다는 사실에 깜짝놀라서 부랄을 치며 9점을 주고 갑니다.,,,,,,,,,,,
4516,명상이나 상념에 잠기는 등의 생각을 하는 것을 싫어하는 사람에게는 추천 하지 못하는 영화. 오락성은 거의 제로에 가깝다. 하지만 우린 인생을 항상 즐기고 오락적으로 살 수 없다. 언젠가 어느때엔 분명 여러가지 생각에...,,,,,,,,,,,
4517,어른을 위한 성장영화,,,,,,,,,,,
4518,최소 세번이상은 볼수있는영화,,,,,,,,,,,
4519,많은 말이 필요없는 영화,,,,,,,,,,,
4520,명작임,,,,,,,,,,,
4521,과거의 집착에서 벗어나지 못하는 올드맨 그로부터 타산지석을 삼아 교훈을 얻어가는 영맨. 우주에서 생명체 찾는것보다 내옆에 널린 생명체한테나 잘해야겠다.,,,,,,,,,,,
4522,이영화를 보고 비난하고 노잼이라는 애들아 생각이다를순 있는데 니들이 그렇게 비꼬면서 깔 영화는 아닌것 같다 본인들 수준 낮은걸 여기와서 티내지 말자 쪽팔린다,,,,,,,,,,,
4523,쥑이네  무슨이런영화가있냐 그저감탄,,,,,,,,,,,
4524,배우들의 연기도좋고 재밌게 봤어요.,,,,,,,,,,,
4525,전날 밤샘했는데도 졸지 않고 끝까지 다 봤다 별 기억에도 남지 않는 오락성만 짙은 영화들보다 훨씬 괜찮았다,,,,,,,,,,,
4526,살면서 평점은 처음남겨보네요. 볼지말지 고민하는분들을 위해 남겨봅니다. 저역시 후기들을 보았고 영화를 보기전에 많은 고민을 하고 봤습니다. 다른 볼 영화들은 많기에..여차하면 중간에 끄고 다른 영화를 볼 준비도 하고...,,,,,,,,,,,
4527,지금껏 우주물과 반대로,,,,,,,,,,,
4528,그래비티보다 뛰어나다고 자부할수있다..브래드피트의 내면연기가 압권..농익은 그의 연기에 눈을떼지 못했다,,,,,,,,,,,
4529,ㄹㅇ 갓 띵작. 고증도 어느정도 잘 됐고 지루한걸 싫어하시는분들도 있겠지만 그만큼의 거리감과 깨달음을 느낄 수 있는 영화입니다. 인터스텔라,,,,,,,,,,,
4530,영화의 메시지가 무엇인지 뭔 소리를 하고 싶은지 알 수가 없다.. 무게감만 잡고 그냥 끝나네..,,,,,,,,,,,
4531,우주에 관심있는 분들이라면 설정,,,,,,,,,,,
4532,오춘기를 극복하는 로이만 믿고 꾹꾹 참아 봤지만 해왕성 서핑 장면에서는 결국 밀어둔 한숨이 연이어 쏟아져 나와버렸다...,,,,,,,,,,,
4533,보다가 꿈나라에서 놀다왔습니다... 예전 도리화가가 생각나네요.. 도리어화가나서 돌아왓다고..,,,,,,,,,,,
4534,이영화의 재미를 느끼지 못하신분들은 힘드시겠지만 두번 세번 보는것을 권해드립니다 ...,,,,,,,,,,,
4535,상실과 나아감의 영화입니다 좀 지루할수도 있지만 진득하니 보다보면 느끼시는게 있을겁니다,,,,,,,,,,,
4536,너무 좋다. 심리와 철학에 관심많으신 분들이라면 생각이 많으시다면 만족스러우실 것 같다. 특히 우주 배경을 좋아하시면 매우 흡족..또 보고싶은 여운이 남음..개인적으로는 비주얼은 인터스텔라를 따라갈 순 없고 스토리는...,,,,,,,,,,,
4537,재밌게 봤습니다. 취향맞는 분들에게는 좋은 영화. 액션도 좀 있지만 전체적으론 잔잔하고 생각하게 하는 영화입니다.,,,,,,,,,,,
4538,이런 것이 영화다. 이런 훌륭한 영화와 그냥 그런 한국 영화의 푯값은 차등을 두어야 한다 생각한다.,,,,,,,,,,,
4539,best of best,,,,,,,,,,,
4540,신선하다. 내가 우주 속으로 빨려 들어가는 느낌. 내가 브래드 피트가 된 느낌. 이 영화 너무 좋다. 그리고 브래드 피트 잘 생긴거 새삼 다시 깨달았다.,,,,,,,,,,,
4541,저예산 양산형 인터스텔라 + 그래비티,,,,,,,,,,,
4542,끝내주는 영상미에 비해서 얇팍한 메세지 전달로 다소 무미건조한 영화였네요. 마치 똥 싸러가서 방귀만 뀌다 온 느낌 ㅋㅋㅋ,,,,,,,,,,,
4543,첫 장면은 재밌었다 !근데 개인적으로는 인터스텔라가 훨씬 재밌다 ㅠ중간에 좀 잠들었던 것 같다..ㅎ친구는 인터스텔라보다 재밌다고 하니호불호 갈리는 영화!원숭이 나오는거에서 놀라고뒤로 갈수록 넘 잔잔하고 가끔 이해안가...,,,,,,,,,,,
4544,엄청난 명작... 후반에 약간 지루했던거 빼고는 굉장히 인상깊었음,,,,,,,,,,,
4545,잘 만든 영화라는 말이 나오는 영화 였어요!독백과 진행되는 스토리가 맘에 들었습니다.,,,,,,,,,,,
4546,우주가 무섭도록 소리없이 고요한 심연이라는 것을 이 영화를 보고서 알았다. 저 멀리 반짝이는 별에 가봐야 결국은 내 안의 혼돈과 맞닥뜨림을. 그러니 지금 곁에 있는 것들을 사랑하고 그냥 삶을 살아야겠다.적막과 공허함...,,,,,,,,,,,
4547,아니 뭐 이정도면 됐지 왜 다들 그래요이래놓고 타짜3 10점  주는거아님?,,,,,,,,,,,
4548,인간은 그 어떤것도 더럽힐수 있는듯..(이러다 마계까지 정복하겠네..),,,,,,,,,,,
4549,아버지의 무에서 유를 향한   끝없는 외침아들은 진정한 고독에서 사랑을 찿아서,,,,,,,,,,,
4550,씨지빼고 폭망. 그래도 우주배경 때문에 욕은 안함.,,,,,,,,,,,
4551,좋은 영화라고 인내심을 가지고 봐주어야 할 이유는없다,,,,,,,,,,,
4552,트라우마의 극복을 통한 알깨기.,,,,,,,,,,,
4553,감독이 주는 냉소주의자들을 향한 큰 울림.,,,,,,,,,,,
4554,철학적이면이 있어서 조금 어렵기도 하지만 그래도 전해주는바가 의미있고 생각을하게되서 재밌게 봤습니다,,,,,,,,,,,
4555,SF라고 생각하고 봤다가 교훈을 얻고 갑니댜 ㅎㅎㅎ 잔잔하면서 재밌었네요!,,,,,,,,,,,
4556,보고나서 느껴지는 씁쓸함...대우주앞에 우리는 아무것도 아니라는것...긴장감도 있고 전 너무 재미있게 봤어요!,,,,,,,,,,,
4557,우리는 무엇을 위해 무엇에 전념하며 살아가는가. 그리고 나는 나의 현실을 올바르게 인식하며 살아가는가. 이 영화 한편에 삶의 잔잔하지만 무거운,,,,,,,,,,,
4558,스토리 자체는 진부할 수 있지만 영상미가 아주 좋고 빵형님 연기 좋네위,,,,,,,,,,,
4559,그냥 봐야한다. 인생영화! 인생을 알게해주는 영화이다,,,,,,,,,,,
4560,아버지는 찾을 수 없었지만 아들은 찾을 수 있었다.,,,,,,,,,,,
4561,추진력으로 지구까지  간드아,,,,,,,,,,,
4562,가장 멋진 배우가 되어 버렸네. 하지만 이건 그래비티에 비교 될 수 밖에 없는 아류인가. 아님 너무 늦은 시간에 관람한 실수인가.,,,,,,,,,,,
4563,심리적 묘사가 깊이 있었음 몰입도가 높았다,,,,,,,,,,,
4564,보다 잠이 들었는데 꿈속에서 내가 내 방 책장 뒤에서 2시간 전 내 모습에게 가지말라며 욕을 하고 있었다..,,,,,,,,,,,
4565,미장센에 공을 들인게 느껴짐.. 한국 상업영화의 말초적자극없이 영화를 보지 못하는 분이라면 안보는걸 추천함.,,,,,,,,,,,
4566,인터스텔라 그래비티 좋아하셨다면 재밌게 보실꺼에요.전 너무 좋았어요.. 영화속의 미래가 과연 몇년이면 될까요..?,,,,,,,,,,,
4567,감독이 어떤 메세지를 주려는 의도는 알겠으나 구지 광활한 우주배경을 담을 필요는 없을것 같고 차라리 첫장면 우주정거장 폭팔씬과 달과 구조선씬에 SF적 재미와 화려한씬을 추가했으면 좋았을듯~,,,,,,,,,,,
4568,우주영화 아니고 인간극장 느낌 인터스텔라 마스 기대하지마세요...,,,,,,,,,,,
4569,조금이라도 피곤한 상태로 가면  급수면 발작함.,,,,,,,,,,,
4570,재미있어요....^^,,,,,,,,,,,
4571,재밌긴한데 중간에 좀 지루할 수도 있어요,,,,,,,,,,,
4572,정말 deep하고 고요한 영화. 그 깊고 광활한 우주가 어쩌면 가장 단순한 답을 준다.. 멀리있고 잡히지 않는 것들만 갈망하지 말고 주위의 소중한 것들과 살아가고 사랑하는 것!,,,,,,,,,,,
4573,저는 재밌게봤습니다만..살짝 지루한때가 있었습니다다른분들께 추천은 못드리겠네요,,,,,,,,,,,
4574,퍼스트맨도 모르겠고 이 영화도 모르겠다,,,,,,,,,,,
4575,상영시간 참 그지같이 해놨네평일엔 볼수가 없구만,,,,,,,,,,,
4576,우리나라 영화가 미국영화를 따라잡을 수 있을까?  이 영화를 보면 아직 멀은 것 같다.,,,,,,,,,,,
4577,완전 좋았음! 개인적으로 극*직업같은 영화 1600만은 말도 안된다 생각해서인지 이 영화가 폄하받는건 무척 아쉬움 ...관람 후 생각하게 하는 영화,,,,,,,,,,,
4578,우주와 부자라는 상징적 표현은 좋았으나 먼가 지나치게  심오해서 본능적 스릴이 없음. 인터스텔라의 스릴감과는 거리가 있어보임,,,,,,,,,,,
4579,마지막에 외계인이 나타나길 기다렸던 사람 공감!,,,,,,,,,,,
4580,익숙함에 속아 소중함을 잃지 말자,,,,,,,,,,,
4581,집나가면 개고생이다!!  증명해주는 영화 별은 그냥 별일뿐,,,,,,,,,,,
4582,몰라여 나잤어요....브형 영화가 무슨내용인지 모르게써...,,,,,,,,,,,
4583,잘봤습니다.한국영화보다는 이런영화 추천,,,,,,,,,,,
4584,화면이 어지럽고 화려한 SF와 우주만 생각했다면 지루할 수 밖에.. 마 이게 현실 우주다. 광활하고 적막한 우주가 배경인 한 남자의 드라마. 브래드피트는 정말 멋지게 나이들었고,,,,,,,,,,,
4585,경이롭고 아름답다! 우주에 관심이 있다면 꼭 보면 좋은 영화 왜 인간을 우주에 비유하는지 알것만 같음,,,,,,,,,,,
4586,철학과 과학과 우주....내용은 흥미롭고..전개도 자연스럽지만 그래비티의 영상미는 없음.. 굳이 아이맥스에서 볼 필요는....평식형님 7점 나는8점...그래비티는 평식이형 8점 나는 10점....,,,,,,,,,,,
4587,또 하나의 SF걸작 탄생!,,,,,,,,,,,
4588,인간의 고독을 넘어선 무언가,,,,,,,,,,,
4589,재밌다고 말하긴 뭐하고,,,,,,,,,,,
4590,잘만든 다큐멘터리 한편 본거 같군.,,,,,,,,,,,
4591,지루하지안코 재밌게 봤습니다~ 그래비티스타일 좋아하신다면 강추입니당!~,,,,,,,,,,,
4592,이동진평론가님이 말한 여타의 우주영화랑 거꾸로란 의미를 이해했다. 한 번 더보고싶은 영화다.,,,,,,,,,,,
4593,광활한 우주를 향하는 여정을 통해 내면속으로 파고들어가는 브래드피트의 모습을 보면서 광활한 우주를 내 속에 품고 있었음을,,,,,,,,,,,
4594,브래드 피트의 연기도 좋았고 영화도 잘 만들었지만,,,,,,,,,,,
4595,오락성만 따지자면 솔직히 많이 실망할 영화인데..여러가지로 많은 생각을 하게 해주는 영화인거 같아요,,,,,,,,,,,
4596,질자다 나왔습니다 아원숭이,,,,,,,,,,,
4597,잘봤습니다. 지루하지 않네요,,,,,,,,,,,
4598,플랜비 영화는 믿고 봅니다. 또 보러갈려구요.,,,,,,,,,,,
4599,시간 가는줄 모르고 본다는게 이 영화다. 진짜 최고다!! 믿고보는 브래드피트!!,,,,,,,,,,,
4600,마션 이후에 우주를 배경으로 한 영화 퍼스트맨이랑 애드 아스트라는 카메라에 수면제 바르고 찍은게 분명하다,,,,,,,,,,,
4601,지루하다해서 기대는 안하고 순전히 빵오빠보려고 갔는데 생각보다 재미있고 브래드핏 연기력이 넘 좋았다은근 심오하고 무기력한삶을 다시 열심히 살아가도록메세지를 남기는 작품이였다,,,,,,,,,,,
4602,심리묘사가 많은 정적인 영화였지만 중간중간 긴장감을 조성하는 연출이 인상적이고 브래드피트의 연기도 좋았다. 흡입력도 뛰어났고 메시지도 좋았다.,,,,,,,,,,,
4603,보다 졸았음 보다 나가는 사람 몇 있었음 이건 뭐 내용도 없고 지루해서 혼났네 브레드피트가 아까워 리브 타일러 몇초 몇분 나오나,,,,,,,,,,,
4604,우주영화 광팬으로서,,,,,,,,,,,
4605,퓨리 보고 왔는데 신작 찍었구나.. 역시 브레드 피드,,,,,,,,,,,
4606,영화의 만듬세나 연기는 두말 할 필요가 없지만 ,,,,,,,,,,,
4607,웰메이드 SF.  헐리우드식 기생충이 아닐런지.무엇을 위한 추구인지 우리는 가끔 잊는다.,,,,,,,,,,,
4608,근 미래의 실사적인 우주에서 격는 부자간의 고뇌에서 마약 같은 꿈과 같은 이상주의와 현실의 중간에 대한 성찰을 느낄 수 있는 영화입니다.,,,,,,,,,,,
4609,우주여행을 다녀온 느낌..잔잔하지만 깊은 울림,,,,,,,,,,,
4610,재미있을것 같아요 재발,,,,,,,,,,,
4611,인터스텔라+그래비티,,,,,,,,,,,
4612,우주적 발걸음에서도 인간들은 이기적이기만 하고,,,,,,,,,,,
4613,내면에 집중한건 알겠는데.... 그러기엔 철학적 깊이가 너무 얄팍하다. 마지막에 아빠는 어디간거냐? ㅋㅋㅋ 글고 핵폭탄 뚜드려맞고 그걸로 귀환하는게 말이되노,,,,,,,,,,,
4614,심리묘사를 하고싶었다면 좀 더 치밀하게했어야한다는 생각이 듬,,,,,,,,,,,
4615,약간 맛이 덜한 gravity,,,,,,,,,,,
4616,플라네테스라고 옛날에 감명깊게 봤던 애니메이션이 생각나는 영화였습니다.이 영화가 재밌었다면 추천.,,,,,,,,,,,
4617,브레드피트의 첫 SF아버지와의 조우 가까운 미래와의조우,,,,,,,,,,,
4618,인터스털라가 났다 좋아요!,,,,,,,,,,,
4619,나 우주 그리고 다시 나로 돌아오는 긴 여행,,,,,,,,,,,
4620,늦게서야 깨닫는 평범한일상의 소중함,,,,,,,,,,,
4621,한국영화랑은 비교불가!!! 알바들 장난치지마세요,,,,,,,,,,,
4622,멋진 영화인건 알겠는데  2시간이 4시간처럼 느껴지는 영화였다,,,,,,,,,,,
4623,그래비티와 인터스텔라를 봤으면 뭐하나 새로울 거 없는 영화...,,,,,,,,,,,
4624,어우지루해 인간독백.심리상태를 다루려면 다큐멘터리를 찍던가ㅋㅋ 2시간이 지루했던건 처음,,,,,,,,,,,
4625,아버지와의 만남 과정속에서 불필요한 희생이 좀 있었던거 같아 아쉽긴 했지만 영상미도 좋고 무엇보다 피트의 내면 연기가 정말 좋았습니다ㅠㅠ 영화가 전반적으로 정적이라서 취향이 맞는 분들은 좋아하실거 같아요.,,,,,,,,,,,
4626,나 자신의 내면을 바라보게 해준 영화였고,,,,,,,,,,,
4627,초중반재미있게끌다가 후반부로 오히려 재미가 떨어진느낌 ...그래도 재미는있어요,,,,,,,,,,,
4628,컷신 넘어가는게 엄청 세련됐습니다,,,,,,,,,,,
4629,야간에 이거보고 욕하면서 나가는 커플보는게 가장 스릴있고 재밌었다...뭔가 ㅈㄴ 심오한데 난 관심없다 잼없다,,,,,,,,,,,
4630,스토리도 연출도 연기도 좋았습니다,,,,,,,,,,,
4631,초반재밌다가 중반후반 지루함,,,,,,,,,,,
4632,이거보고 우주안에 갇혀있다 나온 느낌이었음이거보로 바로 바깥공기 쐬러갔다옴진심 공기의 소중함을 느끼게 해준 영화,,,,,,,,,,,
4633,와..정말 인터스텔라 이상의 영화였어요Sf는 인터스텔라와 마션밖에 안봤지만그만큼 재미있었어요추천해요!,,,,,,,,,,,
4634,중간에 나갈려다 참았네,,,,,,,,,,,
4635,내가 본 영화중 워스트..영화보다 처음으로 잘뻔함인터스텔라 같은 거 기대할거면 딴거보세요,,,,,,,,,,,
4636,너무 지루합니다.. 영화보다가 잔적은 이번이 처음이네요..,,,,,,,,,,,
4637,영화보다가 졸렸어요..,,,,,,,,,,,
4638,진짜 너무재미없네요.. 평점보고 본건데 시간,,,,,,,,,,,
4639,호불호 갈릴영화. 메세지는 좋았으나 지루한건 어쩔수없다.,,,,,,,,,,,
4640,평점이 좋아 놀랐네요. 좋은 내용이고 재미가 없진 않으나 우주의 큰 스케일을 기대하고 본다면 좀 지루 할수 있습니다. 별다른 일 없이 잔잔히 흘러가는 영화네요,,,,,,,,,,,
4641,서사 좋고 미장센 좋습니다.,,,,,,,,,,,
4642,안봤는데  한국영화넘들  조작한다길래 걍 10점,,,,,,,,,,,
4643,노잼 인터스텔라랑 완전 다름,,,,,,,,,,,
4644,쓰레기영화 1점도아깝다 절대보면안됨,,,,,,,,,,,
4645,생각할 거리가 많은 영화~ 광활한 우주에 대해 많은 생각을 하게 하네요,,,,,,,,,,,
4646,나만당할슈없지만 선의를위해,,,,,,,,,,,
4647,노잼 감정적인 영화 괜히봤다,,,,,,,,,,,
4648,차라리 타짜를 보겠....,,,,,,,,,,,
4649,재밌다. 새로운 소재의 sf를 목격하고하니 우주라는 배경에서 이뤄지는 이야기에 대한 상상력이 더 확장된듯 하다. 또다른 우주영화가 더 자주 더 많이 보고 싶고 기대된다.,,,,,,,,,,,
4650,연기 쩐다 잼있음 꼭보삼,,,,,,,,,,,
4651,너무 철학적으로 가려다 지루함을 잡았다,,,,,,,,,,,
4652,졸려요뭔가 철학적 같은데 뭔지를 모르겠고힘내서 겨우겨우보다 재회하는장면에서 자버려서 결말도 못보고 나왔어요철학적이니 액션 스릴러 보는사람은 다른걸 보세요,,,,,,,,,,,
4653,우주영화는 안본당 다 사기라!,,,,,,,,,,,
4654,퍼스트맨 흉내.... 정말 잠 많이옵니다..,,,,,,,,,,,
4655,잔잔히고 잼있습니다!,,,,,,,,,,,
4656,하... 고맙다 단합으로 아주 ... 잘보다간다,,,,,,,,,,,
4657,그릇된집념의 무서움..,,,,,,,,,,,
4658,지구에서 혜왕성까지의 길고 외로운 우주여정 우주에 고독한 인생을 경이롭게 녹여냈다 반짝이는 파란구슬 같은 지구가 더 좋아졌다,,,,,,,,,,,
4659,방금 커플로 봤구요 평점 9점대 영화맞네요 되도안한 한국 영화랑 비교자체 불가능이고. 이영화를 보면서 잔사람들 생각이 없는사람달 같네요 인터스텔라 처럼 교휸 여운 있습니다 비교대상이 아닙니다 지금 옆에 가까이 있는사...,,,,,,,,,,,
4660,ㅋㅋㅋ나진짜 평점보고 내가 이상한가 했다 우주에 간것 같더라!^^ 우주속인줄^^^감동 재미 아무것도 없는 진짜 우주속에 있는것 같음 = 걍 무음제발 보세요 나만 당할수 없다,,,,,,,,,,,
4661,사실감있는 영상과 탄탄한 스토리 정말 오랫만에  좋은영화 보고왔습니다!!,,,,,,,,,,,
4662,인터스텔라 기대하면 재미없을수도있는데인간 갈등 내면 등을 생각하면 재밌는 영화,,,,,,,,,,,
4663,하나의 상업적인 영화보기엔 무리가 있다 연인 흥미를 원하는 친구랑은 잔드시 피해라,,,,,,,,,,,
4664,마지막 브래드피트의 표정만으로도 메시지 전달에 부족함이 없네요~해왕성 까지 왕복여행은 덤~^.~,,,,,,,,,,,
4665,비주얼은 환상적이지만 기존의 SF와 다른 느리고 철학적인 전개로 인하여 관객들의 호불호가 나뉠 수 있습니다. 전 개인적으로 재미있게 봤습니다.,,,,,,,,,,,
4666,저도 즐거운영화를 가장좋아하지만브래드피트연기랑 영상미때문에인상깊게 보긴 했는데취향이 다른걸 저리 비난하네염평양냉면 빠진사람들이 하는말같음함흥은 냉면도 아니라고,,,,,,,,,,,
4667,...? 내용 전개 다 무의미,,,,,,,,,,,
4668,끝날때까지 브래드 피트인줄 모르고 봄..그냥 저 배우 연기 잘한다..몰입감 장난아니다.. 하고 마지막에쿠키영상있나 검색하는데브래드피트....알았음도중에 화장실 가고 싶은데대사 하나하나가 놓치면 안 되는 내용들뿐 ㅠ,,,,,,,,,,,
4669,섬세한 감정표현! 너무너무너무 좋았어요~ 우주영화가 이렇게 재밌을줄이야ㅠ,,,,,,,,,,,
4670,브래드피트의 섬세한 내면 연기와 뛰어난 연출,,,,,,,,,,,
4671,인터스텔라급 대작이 될수도 있었을텐데 살짝 아쉽지만 볼만함,,,,,,,,,,,
4672,세상에 혼자 남다... ? 나에게는 올해 가장 무서운 공포영화로 느껴진다,,,,,,,,,,,
4673,아빠랑 봤어야 하는데...ㅠㅠㅠ,,,,,,,,,,,
4674,최고의 영화다 안보면 후회할거,,,,,,,,,,,
4675,연기는 좋다. 하지만 재미는 없다..전 잘 모르겠네요. 혹시 오락거리로 영화를 생각하는 분에겐 비추..,,,,,,,,,,,
4676,거.. 사람마다 취향차이나서 재미없을수도있지 굳이 다른영화까면서까지 이영화를 치켜세울필욘 없다고본다 개인적으로 극한직업도 재미있었고 애드 아스트라도 재미있었다  우주과학 좋아하면 이영화 진짜 재미있을것임,,,,,,,,,,,
4677,끝까지 다 봐야 진가를 아는 영화 ㅠ,,,,,,,,,,,
4678,연기 참.... 정말 질하시네요... 정말 영화를 엄청 좋아 하는 사람으로써...  정말 좋았습니다.,,,,,,,,,,,
4679,그냥 그냥 그랬습니다-,,,,,,,,,,,
4680,딱 6점 짜리 대체 뭘 기대하고 영화를 내가 본거지? 라는 생각이 들고,,,,,,,,,,,
4681,기대하고 봤는데 매우 지루하고 늘어집니다. 그래도 한국영화보단 낫지 하며 참고 봤습니다. 그래비티,,,,,,,,,,,
4682,유인원나온것만빼면 나름 괜찮은영화인듯하다유인원나왔을때 외계인나오는 유치한 영화인줄알고 기겁했는데ㅋㅋ 끝까지보니까 인생에대해 다시 생각해볼수있는 교훈적이고 좋은 영화였다ㅎㅎ 오래 기억남을듯 하다 그래도 유인원은좀......,,,,,,,,,,,
4683,나의 인생영화로 등극. 최고다.,,,,,,,,,,,
4684,자면서 본 영화는 처음임,,,,,,,,,,,
4685,생각이 많아지게 하는 영화,,,,,,,,,,,
4686,기억에 오래 남을것같은 영화...,,,,,,,,,,,
4687,우주영화 중 깔끔한 좋은 영화네요,,,,,,,,,,,
4688,본 우주영화 중에 제일 재밌게 본거같아요,,,,,,,,,,,
4689,이런 비슷한류의 영화 이젠 평범함 새롭다기보다 본영화 또보는 느낌...차라리 인터스텔라 2번 보는게 낳을 듯...;;,,,,,,,,,,,
4690,생각이라는걸 하고 사는 모든 지적생명체는 이 영화의 매력에 빠질것이고,,,,,,,,,,,
4691,솔직히 맨날 한국영화만 상영관 다 장악해서~ 어쩔수없이 한국영화 위주로 보다가 드문드문 이런 미쿡영화보니 생각보다 더 신세계지 ㅋㅋㅋ 고로 평점 0.5점정도는 그런 효과로 뻥튀기 되었다고 봄. 더이상 코리안 좌좀영화...,,,,,,,,,,,
4692,아~~ 상쾌하다 ㅎㅎㅎ,,,,,,,,,,,
4693,브래드 피트 잘생겼음 그리고 좀 지루하긴 한데 잔잔하고 좋았어요,,,,,,,,,,,
4694,애드 아스트라 좋았어요^^,,,,,,,,,,,
4695,친구들이 재밌었다고 하시네요.,,,,,,,,,,,
4696,가뭄같은 코믹판에 단비같은 영화,,,,,,,,,,,
4697,우주가 아닌 내면 깊숙한 곳으로 가는 디테일한 여정 하지만 다소 지루,,,,,,,,,,,
4698,재미와 여운.. 아주 재미있게 봤어요,,,,,,,,,,,
4699,안보면 후회할 영화임ㅋㅋ 무조건 강추ㅋㅋㅋ,,,,,,,,,,,
4700,브래드피트 연기의 끝판왕,,,,,,,,,,,
4701,2시간동안 우주여행하다 옴..철학적 메시지는 덤,,,,,,,,,,,
4702,이름값 제대로하는 브래드피트ㅋㅋㅋ,,,,,,,,,,,
4703,영상미 덕분인지 몰입도가 장난 아님,,,,,,,,,,,
4704,잔잔한하고 조용한 영화이지만 스케일에 압도되었다,,,,,,,,,,,
4705,나레이션이 과연 필요했을까...,,,,,,,,,,,
4706,의무적으로 보세요제발요 아시겠어요??,,,,,,,,,,,
4707,역시 제임스그레이의 기획이 돋보인다,,,,,,,,,,,
4708,오랜만에 돈과 시간이 아깝지 않은 영화,,,,,,,,,,,
4709,보는내내 경이로웠달까? 사람들이 기대한 이유가 있는듯,,,,,,,,,,,
4710,빵형의 연기력은 오래성숙된 호밀빵같네요어마어마합니다. 갓구운 빵들과는 상대가 안됩니다. 영화스토리도 좋지만 빵형의 연기력의 진수를 볼 수있습니다.,,,,,,,,,,,
4711,오랜만에 작품을 본것 같습니다,,,,,,,,,,,
4712,가장 소중한 것은 늘 자기와 가장 가까운데 있음을 우주를 통해서 표현한 영화 인상적이었습니다. 강추,,,,,,,,,,,
4713,경이롭고 스펙타클함은 없는,,,,,,,,,,,
4714,이 영화 재미 없다는 사람들은 얼마나 대단한 영화를 원하는 거지?,,,,,,,,,,,
4715,고평점엔 이유가 있는법..하지만 결말과 메시지는 단순 ㅠ,,,,,,,,,,,
4716,최고의 영화 ... 친구 추천으로 봤는데 친구 너무 소중해요 ... 천만 이천만이 보길 바라는 영화입니다 ㅠㅠ,,,,,,,,,,,
4717,애드 아스트라 개꿀잼ㅋㅋ 그냥 보세요ㅋㅋ,,,,,,,,,,,
4718,광활한 우주 배경,,,,,,,,,,,
